ID,3.5mm jack,Battery,GPS Support,GPU,Internal Storage,Card slot,NFC,Name,OS,Price,Primary Camera,Clock Speed,SIM,Secondary Camera,Sensors,Weight,Resolution
239,,3000,,650 MHz Adreno 506,64 GB,Hybrid Slot,,Moto G5s Plus ,Android Nougat 7.1,"‚¹14,439",13MP + 13MP,2 GHz,Dual Nano SIM,8MP,"Fingerprint Reader, Accelerometer, Gyroscope, Ambient Light, Proximity",,1920 x 1080 Pixels
240,,2200,,,8 GB,Dedicated Slot,,I Kall K-2 ,Android Marshmallow 6.0,"‚¹3,899",5MP,1.3 GHz,Micro SIM,,,,854 x 480$$Pixels
241,,2630,Yes,Adreno A306,16 GB,Hybrid Slot,,OPPO A37f ,Android Lollipop Color OS 3.0 based on Android 5.1,"‚¹8,990",8MP,1.2 GHz,Nano Sim,5MP,,136 g,1280 x 720 Pixels
242,Yes,3000,Yes,ARM Mali-T720 MP1; 650 MHz,16 GB,Dedicated Slot,Yes,iVooMi Me3 ,Android Nougat 7,"‚¹4,999",8MP,1.3 GHz,Nano SIM,8MP,"Light Sensor, G-Sensor, Proximity Sensor",158 g,1280 x 720 pixels
243,Yes,3600,Yes,,64 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Pro ,Android Nougat 7.0,"‚¹18,900",13MP,1.6 GHz,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g,1920 x 1080 Pixels
244,,,Yes,,64 GB,,,Apple iPhone 8 ,iOS iOS 11,"‚¹56,999",12MP,,Nano SIM,7MP,"Touch ID Fingerprint Sensor Built into the Home Button, Barometer, Three-axis Gyro, Accelerometer, Proximity Sensor, Ambient Light Sensor",148 g,1334 x 750 Pixels
245,Yes,1750,Yes,,32 MB,Dedicated Slot,,Lava KKT Pearl FM,,"‚¹1,299",0.3MP,1 MHz,,,,100 g,240 x 320 Pixels
246,,1050,,,32 MB,Dedicated Slot,,Gfive Guru,,‚¹590,0.3MP,,,,,,176 x 220 Pixels
247,Yes,3000,Yes,ARM Mali - 720 MP1 at 550 / 650 MHz,16 GB,Dedicated Slot,,iVooMi i1 ,Android Nougat 7,"‚¹5,999",13MP + 2MP,1.3 GHz,Dual Micro SIM,8MP,"G-sensor, Light Sensor, Proximity Sensor",165 g,1280 x 640 Pixels
248,Yes,3000,Yes,ARM Mali - 720 MP1 at 550 / 650 MHz,16 GB,Dedicated Slot,,iVooMi i1 ,Android Nougat 7,"‚¹5,999",13MP + 2MP,1.3 GHz,Dual Micro SIM,8MP,"G-sensor, Light Sensor, Proximity Sensor",165 g,1280 x 640 Pixels
249,,1800,,,60 KB,,,Intex Neo V+ FM,7.5,‚¹843,0.3MP,,,,,,128 x 160 Pixels
250,,1800,,,2 MB,,,Videocon V1429W,Series 60 1,‚¹790,0.3MP,,,,,,160 x 128 pixels
251,Yes,2000,Yes,,8 GB,Hybrid Slot,,Samsung Galaxy J2-2017 ,Android Lollipop 5.4.1,"‚¹6,590",5.0MP,1.3 GHz,Micro SIM (3FF),2.0MP,"Accelerometer, Proximity Sensor",130 g,540 x 960 Pixels
252,,800,,,32 MB,Dedicated Slot,,Zen X35,,‚¹829,1.3MP,312 MHz,,,,,120 x 160 Pixels
253,Yes,3000,Yes,Mali-400 MP2; 512 MHz,8 GB,Dedicated Slot,,iVooMi Me1 ,Android Nougat 7,"‚¹3,599",5MP,1.2 GHz,Micro SIM,5MP,"G-Sensor, Proximity Sensor",130 g,1280 x 720 pixels
254,,1400,,,32 MB,Dedicated Slot,,Trio Junior Edge,,"‚¹1,499",0.3MP,1 MHz,,,,,480 x 800$$Pixels
255,Yes,1050,,,32 MB,Dedicated Slot,,Adcom J3 R,,‚¹539,0MP,1.2 MHz,Full Size SIM,,,,128 x 160$$Pixels
256,,850,,,256 MB,Hybrid Slot,,Kechaoda K116,,‚¹799,,,,,,,320 x 480 Pixels
257,Yes,3000,Yes,ARM Mali - 720 MP1 at 550 / 650 MHz,16 GB,Dedicated Slot,,iVooMi i1 ,Android Nougat 7,"‚¹5,999",13MP + 2MP,1.3 GHz,Dual Micro SIM,8MP,"G-sensor, Light Sensor, Proximity Sensor",165 g,1280 x 640 Pixels
258,Yes,3000,Yes,ARM Mali - 720 MP1 at 550 / 650 MHz,16 GB,Dedicated Slot,,iVooMi i1 ,Android Nougat 7,"‚¹5,999",13MP + 2MP,1.3 GHz,Dual Micro SIM,8MP,"G-sensor, Light Sensor, Proximity Sensor",165 g,1280 x 640 Pixels
259,,4000,,,20 MB,Hybrid Slot,,Ziox Thunder Mega,,"‚¹1,369",0.3MP,,Normal SIM,,,,240 x 320 Pixels
260,Yes,2000,Yes,,8 GB,Hybrid Slot,,Samsung Galaxy J2-2017 ,Android Lollipop 5.4.1,"‚¹6,590",5.0MP,1.3 GHz,Micro SIM (3FF),2.0MP,"Accelerometer, Proximity Sensor",130 g,540 x 960 Pixels
261,Yes,3000,Yes,ARM Mali-T720 MP1; 650 MHz,16 GB,Dedicated Slot,Yes,iVooMi Me3 ,Android Nougat 7,"‚¹4,999",8MP,1.3 GHz,Nano SIM,8MP,"Light Sensor, G-Sensor, Proximity Sensor",158 g,1280 x 720 pixels
