,Unnamed: 0,3.5mm jack,Battery,Card slot,Clock Speed,GPS Support,GPU,ID,Internal Storage,NFC,Name,OS,Price,Primary Camera,Resolution,SIM,Secondary Camera,Sensors,Weight
154,387,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,387,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
155,399,Yes,3000.0,Hybrid Slot,2.7 GHz,,ARM Heimdall MP18,399,64 GB,Yes,"Samsung Galaxy S9 (Lilac Purple, 64 GB)  (4 GB RAM)",Android Oreo 8,,12MP,2960 x 1440 Pixels,Nano SIM,8MP,,163 g
156,447,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,447,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
157,450,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,450,16 GB,,"Samsung Galaxy J7 Nxt (Black, 16 GB)  (2 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
158,454,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,454,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
159,455,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,455,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
160,458,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,458,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
161,465,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,465,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
162,468,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,468,32 GB,,"Samsung Galaxy J7 Nxt (Gold, 32 GB)  (3 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
163,494,Yes,2000.0,,,,,494,32 MB,,Celkon C9 Jumbo  (Black & Red),,,1.3MP,240 x 320 Pixels,Full Size SIM,,,
164,497,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,497,32 GB,,"Samsung Galaxy J7 Nxt (Gold, 32 GB)  (3 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
165,498,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,498,64 GB,,"Samsung Galaxy On Nxt (Gold, 64 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 pixels,Nano SIM,8MP,"Accelerometer, Proximity Sensor, Fingerprint Sensor",167 g
166,550,Yes,3600.0,Dedicated Slot,1.6 GHz,Yes,,550,64 GB,Yes,"Samsung Galaxy J7 Pro (Gold, 64 GB)  (3 GB RAM)",Android Nougat 7.0,,13MP,1920 x 1080 Pixels,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g
