ID,3.5mm jack,Battery,Clock Speed,Card slot,GPS Support,GPU,Internal Storage,NFC,Name,OS,Price,Primary Camera,Resolution,SIM,Secondary Camera,Sensors,Weight
858,Yes,820,,"microSD, up to 8 GB (dedicated slot)",No,,"32 MB ROM, 32 MB RAM",,BLU Jenny TV,,About 30 EUR,VGA,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Dual SIM (Mini-SIM),No,,88 g (3.10 oz)
859,Yes,800,,"microSD, up to 8 GB (dedicated slot)",No,,15 MB,,Samsung M2510,,About 120 EUR,1.3 MP,176 x 220 pixels (~128 ppi density),Mini-SIM,No,,90.5 g (3.17 oz)
860,No,860,,"microSD, up to 2 GB (dedicated slot)",No,,5 MB,,Nokia 5300,,About 100 EUR,1.3 MP,"240 x 320 pixels, 4:3 ratio (~190 ppi density)",Mini-SIM,No,,106 g (3.74 oz)
861,Yes,2600,Quad-core 2.3 GHz Krait 400,"microSD, up to 256 GB (dedicated slot)",Yes,Adreno 330,"32 GB, 2 GB RAM",Yes,HTC One ,"Android 4.4.2 (KitKat), upgradable to 6.0 (Marshmallow)",About 250 EUR,"Dual: 4 MP (1/3"", 2 Âµm) autofocus, dual-LED dual-tone flash","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Nano-SIM,"5 MP, 1080p@30fps, HDR","Accelerometer, gyro, proximity, compass, barometer",160 g (5.64 oz)
862,Yes,1200,,"microSD, up to 16 GB (dedicated slot), 1 GB included",No,,30 MB,,Nokia 5132 XpressMusic,,About 70 EUR,2 MP,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Mini-SIM,No,,88 g (3.10 oz)
863,Yes,1000,,"microSD, up to 2 GB (dedicated slot)",No,,,,Micromax X277,,About 20 EUR,VGA,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Dual SIM (Mini-SIM),No,,-
864,Yes,2100,Dual-core 1.5 GHz Krait,"microSD, up to 64 GB (dedicated slot)",Yes,Adreno 225,"8 GB, 1 GB RAM",Yes,Samsung Ativ Odyssey I930,Microsoft Windows Phone 8,About 200 EUR,"5 MP, autofocus, LED flash","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Micro-SIM,"1.2 MP, 720p@30fps","Accelerometer, gyro, proximity, compass",125 g (4.41 oz)
865,Yes,2500,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Mali-400MP2,"8 GB, 1 GB RAM",,Micromax Canvas Selfie 4,Android 6.0 (Marshmallow),,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM, dual stand-by)","8 MP, LED flash","Accelerometer, proximity",-
866,Yes,1400,1.0 GHz,"microSD, up to 32 GB",Yes,Mali-400,"4 GB, 512 MB RAM",,Celkon Campus Colt A401,Android 4.4.2 (KitKat),,"3.15 MP, LED flash","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Dual SIM,Yes,"Accelerometer, proximity",-
867,No,800,,"microSD, up to 2 GB (dedicated slot)",No,,11 MB,,Samsung T729 Blast,,About 60 EUR,1.3 MP,176 x 220 pixels (~122 ppi density),Mini-SIM,No,,80 g (2.82 oz)
868,Yes,1000,1.0 GHz,"microSD, up to 32 GB (dedicated slot)",No,,"256 MB ROM, 128 MB RAM",,alcatel Fire C 2G,Firefox OS 1.3,About 30 EUR,1.3 MP,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Dual SIM (dual stand-by),VGA (optional/operator dependent),Accelerometer,93 g (3.28 oz)
869,Yes,1000,611 MHz,"microSD, up to 32 GB (dedicated slot)",No,,50 MB,,alcatel OT-902,,About 50 EUR,3.15 MP,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Mini-SIM,No,,103.2 g (3.63 oz)
870,No,800,,No,No,,30 MB,,Samsung X680,,,VGA,128 x 160 pixels (~114 ppi density),Mini-SIM,No,,80 g (2.82 oz)
871,No,950,,"microSD, up to 8 GB (dedicated slot)",No,,,,Celkon C359,,,Yes,176 x 220 pixels (~157 ppi density),Dual SIM (Mini-SIM),No,,-
872,Yes,1800,Quad-core 1.5 GHz,No,Yes,ULP GeForce,"16/32 GB (26 GB user available), 1 GB RAM",Yes,HTC One X,"Android 4.0 (Ice Cream Sandwich), upgradable to 4.1.1 (Jelly Bean)",About 170 EUR,"8 MP, autofocus, LED flash, check quality","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Micro-SIM,"1.3 MP, 720p","Accelerometer, gyro, proximity, compass",130 g (4.59 oz)
873,No,800,,"microSD, up to 2 GB (dedicated slot)",No,,15 MB,,Samsung E2510,,About 50 EUR,VGA,128 x 160 pixels (~108 ppi density),Mini-SIM,No,,82 g (2.89 oz)
874,Yes,1400,1.3 GHz ARM 11,"microSD, up to 32 GB (dedicated slot)",Yes,Broadcom BCM2763,"16 GB, 1 GB ROM, 512 MB RAM",Yes,Nokia 808 PureView,Nokia Belle OS,About 280 EUR,"41 MP (38 MP eff., f/2.4, 1/1.2""), Carl Zeiss optics, autofocus, Xenon flash, check quality","360 x 640 pixels, 16:9 ratio (~184 ppi density)",Micro-SIM,"VGA, VGA@30fps","Accelerometer, proximity, compass",169 g (5.96 oz)
875,Yes,4000,Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),"microSD, up to 256 GB (dedicated slot)",Yes,Adreno 512,"64/128 GB, 6 GB RAM",Yes,Samsung Galaxy C10,Android 7.1.1 (Nougat),,"Dual: 13 MP, phase detection autofocus, dual-LED dual-tone flash","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)","Dual SIM (Nano-SIM, dual stand-by)",16 MP,"Fingerprint (front-mounted), accelerometer, proximity, compass",-
876,No,1000,,"microSD, up to 32 GB (dedicated slot)",Yes,,,,Samsung U460 Intensity II,,About 100 EUR,1.3 MP,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Mini-SIM,No,,116 g (4.09 oz)
