ID,3.5mm jack,Battery,Clock Speed,Card slot,GPS Support,GPU,Internal Storage,NFC,Name,OS,Price,Primary Camera,Resolution,SIM,Secondary Camera,Sensors,Weight
3072,No,3080,600 MHz ARM 11,"microSD, up to 32 GB (dedicated slot)",Yes,Adreno 200,"256 MB RAM, 1 GB Flash",,Motorola ES400,Microsoft Windows Mobile 6.5.3 Professional,About 220 EUR,"3.15 MP, autofocus, LED flash","480 x 640 pixels, 4:3 ratio (~267 ppi density)",Mini-SIM,Yes,"Fingerprint (rear-mounted), accelerometer",156 g (5.50 oz)
3073,Yes,1320,1.0 GHz Cortex-A8,No,Yes,PowerVR SGX530,"8.5 GB user available, 1 GB RAM",,Nokia N950,MeeGo 1.2 Harmattan OS,,"12 MP, autofocus, dual-LED flash","480 x 854 pixels, 16:9 ratio (~245 ppi density)",Mini-SIM,Yes,"Accelerometer, proximity, compass",-
3074,Yes,1780,Dual-core 1.2 GHz,"microSD, up to 32 GB (dedicated slot)",Yes,PowerVR SGX540,"8 GB, 1 GB RAM",,Motorola Electrify 2 XT881,Android 4.0.4 (Ice Cream Sandwich),About 260 EUR,"8 MP, autofocus, LED flash","540 x 960 pixels, 16:9 ratio (~256 ppi density)",Mini-SIM,VGA,"Accelerometer, proximity, compass",130 g (4.59 oz)
3075,No,,,microSD (dedicated slot),No,,,,Samsung E251,,About 90 EUR,VGA,128 x 160 pixels (~102 ppi density),Mini-SIM,No,,
3076,Yes,3000,,"microSD, up to 16 GB (dedicated slot)",No,,,,Celkon C3333,,About 30 EUR,1.3 MP,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",Dual SIM (Mini-SIM),No,,-
3077,Yes,800,,No,No,,4 MB RAM,,Nokia 105 ,,About 20 EUR,,"128 x 128 pixels, 1:1 ratio (~129 ppi density)",Mini-SIM,,,69.8 g (2.47 oz)
3078,No,850,,"microSD, up to 8 GB (dedicated slot)",No,,10 MB,,Micromax Q55 Bling,,About 40 EUR,2 MP,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Dual SIM (Mini-SIM),No,,75 g (2.65 oz)
3079,Yes,3500,Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),No,Yes,Mali-T760MP8,"32/64 GB, 3 GB RAM",Yes,Samsung Galaxy S6 active,"Android 5.0.2 (Lollipop), upgradable to 6.0.1 (Marshmallow)",About 380 EUR,"16 MP (f/1.9, 28mm, 1/2.6"", 1.12 Âµm), autofocus, LED flash","1440 x 2560 pixels, 16:9 ratio (~576 ppi density)",Nano-SIM,"5 MP (f/1.9, 22mm), 1080p@30fps","Accelerometer, gyro, proximity, compass, barometer, heart rate",170 g (6.00 oz)
3080,Yes,1000,,"microSD, up to 16 GB (dedicated slot)",No,,20 MB,,Samsung Rex 80 S5222R,,About 70 EUR,3.15 MP,"240 x 320 pixels, 4:3 ratio (~133 ppi density)",Dual SIM (Mini-SIM),No,Proximity,-
3081,Yes,1600,1.0 GHz Cortex-A8,"microSD, up to 32 GB (dedicated slot)",Yes,PowerVR SGX540,2 GB,,Samsung Droid Charge I510,Android 2.2 (Froyo),About 130 EUR,"8 MP, autofocus, LED flash","480 x 800 pixels, 5:3 ratio (~217 ppi density)",Mini-SIM,1.3 MP,"Accelerometer, proximity, compass",143 g (5.04 oz)
3082,Yes,1620,Dual-core 1.2 GHz,"microSD, up to 32 GB (dedicated slot)",Yes,,"16 GB, 1 GB RAM",,HTC Raider 4G,"Android 2.3.4 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",About 230 EUR,"8 MP, autofocus, dual-LED flash","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Mini-SIM,1.3 MP,"Accelerometer, gyro, proximity",177 g (6.24 oz)
3083,No,1500,528 MHz ARM 11,microSD (dedicated slot),Yes,Adreno 130,"288 MB RAM, 512 MB ROM",,HTC Tilt2,"Microsoft Windows Mobile 6.1 Professional, upgradeable to Windows Mobile 6.5",About 90 EUR,"3.15 MP, autofocus","480 x 800 pixels, 5:3 ratio (~259 ppi density)",Mini-SIM,No,Accelerometer,178.5 g (6.28 oz)
3084,No,860,235 MHz ARM 9,"microSD, up to 2 GB (dedicated slot)",No,,"8 MB, 64 MB RAM",,Nokia 5500 Sport,"Symbian 9.1, Series 60 rel. 3.0",About 200 EUR,2 MP,"208 x 208 pixels, 1:1 ratio (~173 ppi density)",Mini-SIM,No,,103 g (3.63 oz)
3085,Yes,2800,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",Yes,Mali-400MP2,"4 GB, 512 MB RAM",,BLU Tank Xtreme 4.0,Android 6.0 (Marshmallow),,"3.15 MP, LED flash","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Dual SIM (Micro-SIM),2 MP,Accelerometer,141 g (4.97 oz)
3086,Yes,3000,Octa-core (2x2.2 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),"microSD, up to 256 GB (dedicated slot)",Yes,Mali-G71,"32/64 GB, 4 GB RAM",Yes,Samsung Galaxy A8 ,Android 7.1.1 (Nougat),About 430 EUR,"16 MP (f/1.7, 1/2.8â€�, 1.12 Âµm), phase detection autofocus, LED flash, check quality","1080 x 2220 pixels, 18.5:9 ratio (~441 ppi density)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Dual: 16 MP (f/1.9, 1/3.1â€�, 1.0 Âµm) + 8 MP (f/1.9, 1/4.0â€�, 1.12 Âµm), 1080p","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",172 g (6.07 oz)
3087,Yes,1200,330 MHz ARM 11,"microSD, up to 16 GB (dedicated slot)",Yes,,"8/16 GB, 128 MB RAM",,Samsung i8510 INNOV8,"Symbian 9.3, Series 60 rel. 3.2",About 200 EUR,"8 MP, autofocus, LED flash","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Mini-SIM,Videocall camera,Accelerometer,136 g (4.80 oz)
3088,Yes,1400,1.0 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)",Yes,PowerVR SGX531,"512 MB, 256 MB RAM",,alcatel One Touch T'Pop,Android 2.3 (Gingerbread),About 100 EUR,2 MP (EU) or 3.2 MP (Americas),"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Mini-SIM,No,"Accelerometer, proximity",118 g (4.16 oz)
3089,Yes,1000,250 MHz,"microSD, up to 32 GB (dedicated slot)",No,,36 MB,,Samsung C3782 Evan,,About 60 EUR,3.15 MP,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Dual SIM (Mini-SIM),No,,82 g (2.89 oz)
3090,Yes,2850,Octa-core (4x2.35 GHz Cortex-A53 & 4x1.65 GHz Cortex-A53),"microSD, up to 256 GB",Yes,Mali-T880MP2,"32 GB, 3 GB RAM",,alcatel Idol 5s,Android 7.1 (Nougat),About 400 EUR,"12 MP (f/2.0, 1/2.8"", 1.25 Âµm), phase detection autofocus, dual-LED dual-tone flash","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Nano-SIM,"8 MP (f/2.0, 1/3.2"", 1.4 Âµm)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",147 g (5.19 oz)
3091,No,650,,No,No,,,,alcatel OT-E225,,,,102 x 80 pixels,Mini-SIM,,,81 g (2.86 oz)
3092,No,820,,No,No,,32 MB,,Samsung E640,,,"1.3 MP, LED flash",176 x 220 pixels,Mini-SIM,No,,90 g (3.17 oz)
3093,No,1170,32-bit Intel XScale PXA270 312MHz,"miniSDIO, 128 MB included",No,,40 MB,,Motorola Q8,Microsoft Windows Mobile 6.0 Standard Edition,About 150 EUR,"1.3 MP, LED flash","320 x 240 pixels, 4:3 ratio (~167 ppi density)",Mini-SIM,No,,115 g (4.06 oz)
3094,No,900,,"microSD, up to 8 GB (dedicated slot)",No,,20 MB,,Nokia 6500 slide,,About 140 EUR,"3.15 MP, Carl Zeiss optics, autofocus, LED flash","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Mini-SIM,QCIF videocall camera,,125 g (4.41 oz)
3095,Yes,1450,Quad-core 1.2 GHz,"microSD, up to 32 GB",Yes,,"4 GB, 512 MB RAM",,Micromax Bolt Q324,Android 4.4.2 (KitKat),About 60 EUR,"2 MP, LED flash","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Dual SIM,VGA,Accelerometer,-
3096,Yes,1500,1.0 GHz,"microSD, up to 32 GB (dedicated slot), 2 GB included",Yes,,"1 GB, 512 MB RAM",,Samsung Conquer 4G,Android 2.3.4 (Gingerbread),About 90 EUR,"3.15 MP, autofocus, LED flash","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Mini-SIM,1.3 MP,"Accelerometer, proximity, compass",116 g (4.09 oz)
3097,Yes,1200,1.0 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)",Yes,Mali-400,"4 GB, 512 MB RAM",,Samsung Galaxy Pocket 2,Android 4.4.2 (KitKat),About 100 EUR,2 MP,"240 x 320 pixels, 4:3 ratio (~121 ppi density)","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",No,,107 g (3.77 oz)
3098,Yes,1010,,"microSD, up to 32 GB (dedicated slot), 4 GB card included",No,,64 MB RAM,,Nokia Asha 502 Dual SIM,"Nokia Asha software platform 1.1.1, upgradable to 1.4",About 80 EUR,"5 MP, LED flash","240 x 320 pixels, 4:3 ratio (~133 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",No,"Accelerometer, proximity",100 g (3.53 oz)
3099,No,1350,400 MHz ARM 11,microSD (dedicated slot),Yes,Adreno 130,"128 MB RAM, 256 MB ROM",,HTC TyTN II,Microsoft Windows Mobile 6.0 Professional,About 140 EUR,"3.15 MP, autofocus","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Mini-SIM,VGA videocall camera,,190 g (6.70 oz)
3100,No,1300,,"microSD, up to 2 GB (dedicated slot)",No,,100 MB,,Samsung A827 Access,,About 70 EUR,1.3 MP,"320 x 240 pixels, 4:3 ratio (~174 ppi density)",Mini-SIM,No,,98 g (3.46 oz)
3101,Yes,1800,Dual-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Mali-400,"4 GB, 512 MB RAM",,BLU Studio 5.0 C,Android 4.4.2 (KitKat),About 80 EUR,"5 MP, LED flash","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Dual SIM (Mini-SIM),VGA,"Accelerometer, proximity",170 g (6.00 oz)
3102,Yes,2100,Dual-core 1.4 GHz Krait 300,"microSD, up to 64 GB (dedicated slot)",Yes,Adreno 305,"8 GB, 1 GB RAM",,HTC Desire 601,"Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",About 230 EUR,"5 MP (1/4"", 1.4 Âµm), autofocus, LED flash","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Micro-SIM,VGA,"Accelerometer, proximity",130 g (4.59 oz)
3103,No,,,No,No,,,,alcatel OT 735,,,CIF,"128 x 128 pixels, 11 lines, 1:1 ratio",Mini-SIM,No,,89 g (3.14 oz)
3104,No,1500,,"microSD, up to 16 GB (dedicated slot)",No,,,,Celkon C260,,,1.3 MP,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",Dual SIM (Mini-SIM),No,,-
3105,No,750,,No,No,,600 KB,,Samsung C270,,About 30 EUR,,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",Mini-SIM,,,74 g (2.61 oz)
3106,No,820,,microSD (dedicated slot),No,,4.4 MB,,Motorola C980,,,VGA,176 x 220 pixels (~148 ppi density),Mini-SIM,Yes,,139 g (4.90 oz)
3107,No,1800,,"microSD, up to 2 GB (dedicated slot)",No,,,,Celkon C509,,,Yes,128 x 160 pixels (~114 ppi density),Dual SIM (Mini-SIM),No,,106 g (3.74 oz)
3108,Yes,3960,Dual-core 1.2 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot) - market dependent",Yes,PowerVR SGX540,"16 GB, 1 GB RAM",,Motorola XOOM 2 Media Edition 3G MZ608 ,"Android 3.2 (Honeycomb), upgradable to 4.0.4 (Ice Cream Sandwich)",About 210 EUR,"5 MP, autofocus, LED flash","800 x 1280 pixels, 16:10 ratio (~184 ppi density)",Mini-SIM,1.3 MP,"Accelerometer, gyro, compass, barometer",386 g (13.62 oz)
3109,No,1000,,"microSD, up to 4 GB (dedicated slot)",No,,18 MB,,Nokia 6600 slide,,About 150 EUR,"3.15 MP, autofocus, LED flash","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Mini-SIM,Videocall camera,Accelerometer,110 g (3.88 oz)
3110,Yes,9500,Quad-core 2.3 GHz Krait 400,"microSD, up to 64 GB (dedicated slot)",Yes,Adreno 330,"32/64 GB, 3 GB RAM",,Samsung Galaxy Note Pro 12.2 LTE ,"Android 4.4 (KitKat), upgradable to 5.0.2 (Lollipop)",About 670 EUR,"8 MP, autofocus, LED flash","2560 x 1600 pixels, 16:10 ratio (~247 ppi density)",Micro-SIM,"2 MP, 1080p@30fps","Accelerometer, gyro, compass",753 g (1.66 lb)
3111,Yes,2500,Quad-core 1.3 GHz Cortex-A53,"microSD, up to 64 GB",Yes,Mali-T720,"16 GB, 2 GB RAM or 8 GB, 1 GB RAM",,BLU Studio J8 LTE,Android 7.0 (Nougat),,"8 MP, LED flash","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Dual SIM (Nano-SIM/ Micro-SIM),"5 MP, LED flash","Fingerprint (rear-mounted), accelerometer, proximity",183 g (6.46 oz)
3112,Yes,1785,Dual-core 1.2 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)",Yes,PowerVR SGX540,"16 GB, 1 GB RAM",,Motorola DROID 4 XT894,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",About 260 EUR,"8 MP, autofocus, LED flash","540 x 960 pixels, 16:9 ratio (~275 ppi density)",Micro-SIM,"1.3 MP, 720p","Accelerometer, proximity, compass",178.9 g (6.28 oz)
3113,Yes,,330 MHz ARM 1136,microSD (dedicated slot),Yes,PowerVR MBX,150 MB,,Samsung i560,"Symbian OS 9.1, Series 60 v3.1 UI",About 110 EUR,"3.15 MP, LED flash","240 x 320 pixels, 4:3 ratio (~167 ppi density)",Mini-SIM,QCIF videocall camera,,111 g (3.92 oz)
3114,,1500,,"microSD, up to 8 GB (dedicated slot)",No,,,,Celkon C67+,,,VGA,"240 x 320 pixels, 4:3 ratio (~167 ppi density)","Dual SIM (Mini-SIM, dual stand-by)",No,,-
3115,Yes,4000,Quad-core 1.0 GHz,"microSD, up to 32 GB",Yes,,"8 GB, 2 GB RAM",,Micromax Canvas Juice 4G Q461,Android 5.1 (Lollipop),,"8 MP, autofocus, dual-LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",5 MP,"Accelerometer, proximity",152 g (5.36 oz)
3116,Yes,2100,Quad-core 1.4 GHz Cortex-A9,"microSD, up to 64 GB (dedicated slot)",Yes,Mali-400MP4,"8/16 GB, 1 GB RAM",Yes,Samsung Galaxy Pop SHV-E220,Android 4.1.2 (Jelly Bean),About 110 EUR,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~316 ppi density)",Mini-SIM,1.9 MP,"Accelerometer, gyro, proximity, compass",134 g (4.73 oz)
3117,Yes,1000,,"microSD, up to 16 GB (dedicated slot)",No,,50 MB,,Samsung E2652W Champ Duos,,About 90 EUR,1.3 MP,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",Dual SIM (Mini-SIM),No,,88 g (3.10 oz)
3118,No,1020,,"microSD, up to 2 GB (dedicated slot)",No,,9 MB,,Nokia 3110 classic,,About 100 EUR,1.3 MP,128 x 160 pixels (~114 ppi density),Mini-SIM,No,,87 g (3.07 oz)
3119,Yes,1800,Quad-core 1.2 GHz,"microSD, up to 32 GB",Yes,,"8 GB, 1 GB RAM",,Celkon Q455L,Android 5.0 (Lollipop),,"8 MP, autofocus, LED flash","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Dual SIM,3.15 MP,"Accelerometer, proximity",130 g (4.59 oz)
3120,No,1000,,No,No,,54 MB,,Samsung A411,,,VGA,128 x 160 pixels (~102 ppi density),Mini-SIM,No,,88 g (3.10 oz)
3121,Yes,2800,Quad-core 1.5 GHz Cortex-A53,"microSD, up to 128 GB",Yes,Mali-T860MP2,"16 GB, 2 GB RAM",,alcatel Pulsemix,Android 7.0 (Nougat),About 80 USD,"8 MP, f/2.0, autofocus, dual-LED dual-tone flash","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Nano-SIM,"2 MP, LED flash","Accelerometer, proximity, compass",145.7 (5.15 oz)
3122,No,800,,"microSD, up to 8 GB (dedicated slot)",No,,15 MB,,Samsung S3030 Tobi,,About 90 EUR,1.3 MP,176 x 220 pixels (~148 ppi density),Mini-SIM,No,,85 g (3.00 oz)
3123,No,2600,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo) - USAQuad-core (2x1.8 GHz Kryo & 2x1.6 GHz Kryo) - Global,"microSD, up to 256 GB (dedicated slot)",Yes,Adreno 530,"32/64 GB, 4 GB RAM",Yes,Motorola Moto Z,"Android 6.0.1 (Marshmallow), 7.1.1 (Nougat), planned upgrade to Android 8.0 (Oreo)",About 290 EUR,"13 MP, f/1.8, laser autofocus, OIS, dual-LED dual-tone flash, check quality","1440 x 2560 pixels, 16:9 ratio (~535 ppi density)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","5 MP (f/2.2, 1.4 Âµm), LED flash, 1080p","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",136 g (4.80 oz)
3124,Yes,1540,Dual-core 1.0 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)",Yes,PowerVR SGX540,"8 GB, 512 MB RAM",,Motorola MILESTONE 3 XT860,"Android 2.3.4 (Gingerbread), not upgradable to 4.1 (Jelly Bean)",About 180 EUR,"8 MP, autofocus, LED flash","540 x 960 pixels, 16:9 ratio (~275 ppi density)",Mini-SIM,VGA,"Accelerometer, proximity, compass",184 g (6.49 oz)
3125,No,,,microSD (dedicated slot),Yes,,63 MB,,Motorola E1120,,,"3.15 MP, autofocus","240 x 320 pixels, 4:3 ratio (~190 ppi density)",Mini-SIM,VGA videocall camera,,130 g (4.59 oz)
3126,Yes,2600,Quad-core 1.2 GHz,"microSD, up to 64 GB (dedicated slot)",Yes,,,,Samsung Galaxy Beam2,Android 4.2.2 (Jelly Bean),About 250 EUR,"5 MP, autofocus, LED flash","480 x 800 pixels, 5:3 ratio (~200 ppi density)",Micro-SIM,Yes,"Accelerometer, gyro, proximity, compass",165 g (5.82 oz)
3127,Yes,3300,Octa-core 2.2 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)",Yes,Adreno 506,"64 GB, 4 GB RAM",Yes,Samsung Galaxy C7 Pro,"Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",About 370 EUR,"16 MP, f/1.9, autofocus, dual-LED dual-tone flash","1080 x 1920 pixels, 16:9 ratio (~386 ppi density)","Hybrid Dual SIM (Nano-SIM, dual stand-by)","16 MP, f/1.9","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",172 g (6.07 oz)
3128,Yes,1500,,"microSD, up to 8 GB (dedicated slot)",No,,,,Micromax X271,,About 20 EUR,VGA,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Dual SIM (Mini-SIM),No,,91 g (3.21 oz)
3129,Yes,1050,600 MHz ARM 11,"microSD, up to 16 GB (dedicated slot), 1 GB included",Yes,,50 MB,,Nokia 6720 classic,"Symbian, S60 rel. 3.2",About 90 EUR,"5 MP, Carl Zeiss optics, autofocus, LED flash, check quality","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Mini-SIM,QVGA videocall camera,,110 g (3.88 oz)
3130,Yes,2200,Quad-core 1.6 GHz Cortex-A7,"microSD, up to 256 GB (dedicated slot)",Yes,Adreno 305,"16 GB, 2 GB RAM",Yes,HTC Desire 650,Android 6.0 (Marshmallow),About 170 EUR,"13 MP (f/2.0, 28mm), autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","5 MP (f/2.8, 34mm), 1080p, HDR","Accelerometer, proximity",140 g (4.94 oz)
3131,No,1000,,"microSD, up to 16 GB (dedicated slot)",No,,50 MB,,Samsung T369,,About 100 EUR,1.3 MP,"240 x 320 pixels, 4:3 ratio (~160 ppi density)",Mini-SIM,No,,112 g (3.95 oz)
3132,Yes,1760,Dual-core 1.0 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)",Yes,PowerVR SGX531u,"4 GB, 512 MB RAM",,BLU Tank 4.5,Android 4.1 (Jelly Bean),About 200 EUR,"5 MP, autofocus, LED flash","540 x 960 pixels, 16:9 ratio (~245 ppi density)","Dual SIM (Mini-SIM, dual stand-by)",VGA,,136 g (4.80 oz)
3133,Yes,4600,Quad-core 1.2 GHz Cortex-A53,"microSD, up to 32 GB (dedicated slot)",Yes,Adreno 306,"8 GB, 1 GB RAM",,alcatel POP 10 ,Android 5.0.1 (Lollipop),About 250 EUR,5 MP,"800 x 1280 pixels, 16:10 ratio (~157 ppi density)",Micro-SIM,2 MP,"Accelerometer, proximity",380 g (13.40 oz)
3134,Yes,2500,Dual-core 1.2 GHz Cortex-A5,"microSD, up to 32 GB (dedicated slot)",Yes,Adreno 203,"4 GB (2.4 GB user available), 512 MB RAM",,alcatel One Touch Scribe Easy,Android 4.1.2 (Jelly Bean),About 170 EUR,"5 MP, autofocus, LED flash","480 x 800 pixels, 5:3 ratio (~187 ppi density)","Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",VGA,"Accelerometer, proximity, compass",163 g (5.75 oz)
3135,Yes,800,,"microSD, up to 16 GB (dedicated slot)",No,,50 MB,,Samsung M2710 Beat Twist,,About 70 EUR,2 MP,144 x 176 pixels (~114 ppi density),Mini-SIM,No,Accelerometer,85 g (3.00 oz)
3136,No,1100,,"microSD, up to 2 GB (dedicated slot)",No,,30 MB,,Nokia 6151,,About 120 EUR,1.3 MP,128 x 160 pixels (~114 ppi density),Mini-SIM,No,,98 g (3.46 oz)
3137,Yes,1520,1.2 GHz Scorpion,"microSD, up to 32 GB (dedicated slot), 8 GB included",Yes,Adreno 205,"4 GB, 768 MB RAM",,HTC EVO Design 4G,"Android 2.3.4 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",About 140 EUR,"5 MP, autofocus, LED flash","540 x 960 pixels, 16:9 ratio (~275 ppi density)",Mini-SIM,1.3 MP,"Accelerometer, proximity, compass",147.4 g (5.19 oz)
3138,Yes,2500,1.0 GHz S5P-C111,"microSD, up to 32 GB (dedicated slot)",Yes,,8/16 GB,,Samsung Galaxy S WiFi 5.0,Android 2.2 (Froyo),About 180 EUR,"3.15 MP, autofocus, LED flash","480 x 800 pixels, 5:3 ratio (~187 ppi density)",No,VGA,"Accelerometer, compass",182 g (6.42 oz)
3139,Yes,4000,"Octa-core (4x1.9 GHz & 4x1.3 GHz) - T710, T715Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53) - T719N","microSD, up to 256 GB (dedicated slot)",Yes,"Mali-T760 MP6 - T710, T715Adreno 510 - T719N","32/64 GB, 3 GB RAM",,Samsung Galaxy Tab S2 8.0 ,"Android 5.0.2 (Lollipop), upgradable to 6.0.1 (Marshmallow) - T710, T715Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat) - T719N",About 400 EUR,"8 MP, autofocus","1536 x 2048 pixels, 4:3 ratio (~320 ppi density)",Nano-SIM,2.1 MP,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",265 g (Wi-Fi) / 272 g (LTE) (9.59 oz)
3140,Yes,1200,680 MHz ARM 11,"microSD, up to 32 GB (dedicated slot)",Yes,Broadcom BCM2727,"16 GB, 256 MB RAM, 512 MB ROM",,Nokia N8,"Symbian^3, upgradable to Nokia Belle Refresh",About 140 EUR,"12 MP (1/1.83""), Carl Zeiss optics, autofocus, Xenon flash, ND filter, check quality","360 x 640 pixels, 16:9 ratio (~210 ppi density)",Mini-SIM,VGA videocall camera,"Accelerometer, proximity, compass",135 g (4.76 oz)
3141,Yes,,,"microSD, up to 32 GB (dedicated slot)",No,,16 MB,,Nokia 3310 ,,About 50 EUR,"2 MP, LED flash","240 x 320 pixels, 4:3 ratio (~167 ppi density)","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",No,,-
3142,No,1800,,"microSD, up to 2 GB (dedicated slot)",No,,,,Micromax X1i,,About 20 EUR,,"128 x 128 pixels, 1:1 ratio (~124 ppi density)",Mini-SIM,,,82 g (2.89 oz)
3143,Yes,1800,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Mali-400MP2,"16 GB, 1 GB RAM",,Celkon Q470,Android 4.4.2 (KitKat),,8 MP,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Dual SIM (Mini-SIM),2 MP,"Accelerometer, proximity",137 g (4.83 oz)
3144,No,820,,microSD (dedicated slot),No,,8 MB,,Samsung J400,,About 80 EUR,1.3 MP,176 x 220 pixels (~141 ppi density),Mini-SIM,VGA videocall camera,,101.2 g (3.56 oz)
3145,Yes,1500,800 MHz Cortex-A9,"microSD, up to 32 GB (dedicated slot), 8 GB included",Yes,PowerVR SGX531,"512 MB, 256 MB RAM",,Motorola Motosmart Me XT303,Android 2.3 (Gingerbread),About 160 EUR,2 MP,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",Mini-SIM,No,"Accelerometer, proximity",107 g (3.77 oz)
3146,Yes,1400,1.0 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)",Yes,PowerVR SGX531,"4 GB, 512 MB RAM",,alcatel Evolve,Android 4.1 (Jelly Bean),About 70 EUR,5 MP,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Mini-SIM,VGA,"Accelerometer, proximity",136.5 g (4.83 oz)
3147,Yes,1170,720 MHz Cortex-A8,"microSD, up to 32 GB (dedicated slot), 2 GB included",Yes,PowerVR SGX530,"512 MB, 512 MB RAM",,Motorola FLIPSIDE MB508,Android 2.2 (Froyo),About 170 EUR,3.15 MP,"320 x 480 pixels, 3:2 ratio (~186 ppi density)",Mini-SIM,No,"Accelerometer, proximity, compass",145 g (5.11 oz)
3148,No,1000,,"microSD, up to 4 GB (dedicated slot)",No,,,,Celkon C2,,,1.3 MP,160 x 228 pixels (~155 ppi density),Dual SIM (Mini-SIM),No,,75 g (2.65 oz)
3149,Yes,2000,Dual-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)",Yes,Mali-400,"4 GB, 512 MB RAM",,BLU Dash 5.0,Android 4.2 (Jelly Bean),About 100 EUR,"5 MP, LED flash","480 x 854 pixels, 16:9 ratio (~196 ppi density)","Dual SIM (Mini-SIM, dual stand-by)",VGA,"Accelerometer, gyro, proximity, compass",128 g (4.52 oz)
3150,No,1000,184 MHz,"microSD, up to 16 GB (dedicated slot)",Yes,,70 MB,,Samsung T479 Gravity 3,,About 130 EUR,2 MP,"240 x 320 pixels, 4:3 ratio",Mini-SIM,No,,123 g (4.34 oz)
3151,Yes,1050,369 MHz ARM 11,"microSD, up to 8 GB (dedicated slot), 2 GB included",No,,"12 MB, 96 MB RAM",,Nokia N81,"Symbian OS 9.2, Series 60 v3.1 UI",About 200 EUR,"2 MP, LED flash","240 x 320 pixels, 4:3 ratio (~167 ppi density)",Mini-SIM,CIF videocall camera,,140 g (4.94 oz)
