,2G bands,3.5mm jack,3G Speed,3G bands,4G bands,Alert types,Announced,Audio Jack,Audio quality,Battery Capacity,Battery life,Bluetooth Support,Bluetooth Version,Browser,Browser,Build,Camera,Dimensions,Display Colors,Display Size,Display Type,EDGE,Expandable Storage,FM Radio,Features,GPRS,GPRS Features,GPS,GPS Support,GPU,Instant Message,Internal,Internal Storage,Internet Connectivity,Loudspeaker,Memory Card Slot Type,Messaging,Multitouch,Music play,NFC,Name,Operating System,Other Display Features,Performance,Price_INR,Primary Camera,Primary Camera Available,Primary Camera Features,Primary Clock Speed,Processor Core,Processor Type,Protection,RAM,Resolution,SAR,SAR EU,SIM Size,SMS,Secondary Camera,Secondary Camera Available,Secondary Camera Features,Sensors,Stand-by,Status,Supported Networks,Talk time,USB,Video,WLAN,Weight,Wi-Fi Version
1067,,,,,,,,,,1300 mAh,,,,,,,,,,2.4 inch,,,,,,,,,,,,,126 MB,,,,,,,,Karbonn FlameÂ Â (Black),,,,"‚¹1,099",0.3MP,,,,,,,256 MB,240 x 320 Pixels,,,,,,,,,,,"CDMA, GSM",,,,,,
1068,,,"HSDPA (Downlink Speed): 42 Mbps, HSUPA (Uplink Speed): 11.2 Mbps",,,,,3.5 mm,,2280 mAh,,Yes,,,,,,,,5 inch,HD,,32 GB,Yes,,,Class 12,,Yes,,,,16 GB,,,,,,,,"Micromax Canvas Knight 2 (Black & Champagne, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5,Pinch Zoom,,"‚¹6,190",13MP,Yes,Auto Focus,1.5 GHz,Octa Core,Qualcomm Snapdragon 615 Octa Core 1.5GHz,,2 GB,1280 x 720 Pixels,,,,Yes,5MP,Yes,Front Focus,"Gravity Sensor, Proximity, Light Sensor, Accelerometer",,,"4G LTE, UMTS",,,,,,802.11b/g/n
1069,,,,,,,,,,2200,,,,,,,,,,5,,,,,,,,,,,,,8 GB,,,Dedicated Slot,,,,,"I Kall K3 Volte (Black, 8 GB)Â Â (1 GB RAM)",Android Marshmallow 6.0,,,"‚¹3,999",5MP,Yes,,1.3,Quad Core,,,1 GB,854 x 480$$Pixels,,,Micro SIM,Yes,,Yes,,,,,"4G LTE, GSM",,,,,,
1070,,,"42 Mbps HSDPA; 5.76 Mbps HSUPA, HSPA+",,,,,,,5000 mAh,,Yes,4,,,,,,,5.5 inch,,,64 GB,Yes,,,,,Yes,Adreno 306,,,16 GB,"4G, 3G, Wi-Fi",,,,,,,"Asus Zenfone Max (Black, 16 GB)Â Â (2 GB RAM)",Android Marshmallow 6,IPS Display Upto 178 Degree Viewing Angle,,"‚¹7,465",13MP,Yes,"Laser Auto Focus, f/2.0 Aperture, Back Light (HDR), Real Time Beautification, Night Mode, Depth of Field, Selfie Mode, Photo Effects, Panorama Mode, Miniature, Time Rewind, Smart Remove, All Smiles, Time Lapse",1 GHz,Quad Core,Qualcomm Snapdragon 410 Quad Core 1GHz,,2 GB,1280 x 720 Pixels,,,Micro SIM,Yes,5MP,Yes,"f/2.0 Aperture, Selfie Panorama (Upto 140 Degree), Real Time Beautification, HDR Mode, Low Light Mode, Night Mode, Photo Effects, GIF Animation, Time Lapse","Accelerometer, eCompass, Proximity Sensor, Hall Sensor, Ambient Light Sensor",,,"4G LTE, WCDMA",,,,,202 g,802.11 b/g/n
1071,,,,,,,,,,400 mAh,,,,,,,,,,1.44 inch,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Chilli C10Â Â (Black),,,,‚¹831,0.3MP,,,,,,,32 MB,120 x 240 Pixels,,,,,,,,,,,GSM,,,,,,
1072,,,,,,,,3.5 mm,,1800 mAh,,Yes,,,,,,,,2.4 inch,,,8 GB,,,,,,,,,,64 MB,,,Dedicated Slot,,,,,I Kall K3311Â Â (Gold & Black / Golden),,,,‚¹799,0.3MP,Yes,,,,,,32 MB,320 x 240 Pixels,,,,Yes,,No,,,,,"GSM, GSM",,,,,,
1073,,,,,,,,,,850 mAh,,,,,,,,,,1.8 inch,TFT,,,Yes,,,,,,,,,,2G,,Hybrid Slot,,,,,Forme N5+ Selfie with Wireless FMÂ Â (Red & Black),,,,‚¹699,0.8MP,Yes,,,,0 0 0 0 Processor,,,128 x 160 Pixels,,,Normal SIM,Yes,0.3MP,,,,,,"GSM, GSM",,,,,,
1074,,,,,,,,3.5 mm,,1050 mAh,,Yes,,,,,,,,2.4 inch,,,16 GB,Yes,,,,,,,,,1 MB,2G,,Dedicated Slot,,,,,Darago 3310 iÂ Â (Red),,,,‚¹779,0.3MP,Yes,,1 MHz,,,,1 MB,320 x 240$$Pixels,,,Normal SIM,Yes,,,,,,,"GSM, GSM",,,,,,
1075,,,,,,,,,,5000 mAh,,Yes,4,,,,,,,5.2 inch,IPS On Cell,,128 GB,,,,,,Yes,,,,32 GB,"4G, 3G, EDGE, GPRS, Wi-Fi",,Hybrid Slot,,,,,"Panasonic Eluga A4 (Champagne Gold, 32 GB)Â Â (3 GB RAM)",Android Nougat 7,2.5D Curved Display,,"‚¹9,690",13MP,Yes,"5P Lens Element, F2.2 Aperture, Modes: HDR, Face Beauty, Panoramic",1.25 GHz,Quad Core,MT6737,,3 GB,1280 x 720 Pixels,,,Nano SIM and Nano SIM,Yes,5MP,Yes,"Element Lens 3P, Aperture 2.2, Modes: Beauty Mode, HDR","Accelerometer, Proximity Sensor, Ambient Light, Fingerprint Sensor",,,"4G VoLTE, UMTS, GSM, 4G LTE, WCDMA",,,,,162 g,802.11b/g/n
1076,,,,,,,,,,1500 mAh,,Yes,,,,,,,,4 inch,,,,,,,,,,,,,8 GB,,,Dedicated Slot,,,,,"Lava A44 4G with VoLTE (White & Gold, 8 GB)Â Â (1 GB RAM)",Android Nougat 7.0,,,"‚¹4,199",5MP,Yes,,1.1 GHz,Quad Core,,,1 GB,800 x 480 Pixels,,,,,,Yes,,,,,"4G VoLTE, GSM",,,,,140 g,
1077,,,HSPA+,,,,,3.5 mm,,3510 mAh,,Yes,4,,,,,,,5.5 inch,Super AMOLED,,2 TB,,,,,,Yes,Adreno 506 at 650 MHz,,,32 GB,"4G, 3G, Wi-Fi, GPRS, EDGE",,Dedicated Slot,,,,Yes,"Moto Z Play with Style Mod (Black, 32 GB)Â Â (3 GB RAM)",Android Marshmallow 6.0.1,,,"‚¹24,999",16MP,Yes,"16 MP Primary Camera, Laser Auto-focus, Phase Detection Autofocus (PDAF), f/2.0 Aperture, 1.3 um Pixel Size, Zero Shutter Lag, Colour Balancing Dual LED Flash, Professional Mode, Quick Capture, Best Shot, Tap (anywhere) to Capture, 4X Digital Zoom, Burst Mode, Auto HDR, Panorama, Drag to Focus & Exposure, Video Stabilisation, 720p (120fps),1080p (30fps),4K (30fps), Slow Motion Video",2 GHz,Octa Core,Qualcomm Snapdragon 625 Octa Core 2GHz,,3 GB,1920 x 1080 Pixels,,,Nano SIM,Yes,5MP,Yes,"f/2.2 Aperture, Wide Angle 85Degree Lens, Flash, Auto Night Mode, Beautification Software, Professional Mode","Fingerprint Reader, Accelerometer, Ambient Light, Gyroscope, Hall Effect, Magnetometer, Proximity, Audio Monitor",,,"4G LTE, 4G LTE",,,,,165 g,802.11 a/b/g/n
1078,,,"HSPA+: 42 Mbps Downlink, 11 Mbps Uplink",,,,,3.5 mm,,2200 mAh,,Yes,4.2,,,,,,16.7 M,5.0 inch,IPS,,32 GB,Yes,,,,,Yes,,,,16 GB,"4G, 3G, Wi-Fi, EDGE, GPRS",,Dedicated Slot,,,,,"Alcatel U5 HD (Metallic Gold, 16 GB)Â Â (2 GB RAM)",Android Nougat 7,5-points Touch with Gesture,,"‚¹5,999",13MP,Yes,"Auto Focus, HDR, Easy Shot, EIS, Face Mask, Face Show, Face Beauty, Instant Collage, Easy Shot, Selfie Album",1.3 GHz,Quad Core,MTK6737,,2 GB,1280 x 720 Pixels,,,Nano SIM,Yes,8MP,Yes,,G-sensor,,,"4G VoLTE, 4G LTE, WCDMA, GSM",,,,,,802.11b/g/n
1079,,,,,,,,3.5 mm,,3000 mAh,,Yes,4,,,,,,16 M,5.5 inch,,,128 GB,,,,,,Yes,,,,16 GB,"4G, 3G, Wi-Fi, GPRS, EDGE",,,,,,,"Honor Holly 3 (White, 16 GB)Â Â (2 GB RAM)",Android Marshmallow 6,"IPS Display, 10 Point-touch",,"‚¹7,399",13MP,Yes,"Auto Focus, Photo: 4160 x 3120 MP, Video: Upto 1920 x 1080 MP, Quick Shooting, Panoramic Shooting",1.2 GHz,Octa Core,Huawei Kirin 620 Octa Core 1.2GHz,,2 GB,1280 x 720,,,Micro SIM,Yes,8MP,Yes,"Photo: 3264 x 2448 MP, Video: Upto 1280 x 720 MP","Accelerometer, Proximity Sensor, Ambient Light Sensor, Digital Compass",,,"4G LTE, 4G LTE",,,,,168 g,802.11 b/g/n
1080,,,HSPA,,,,,,,3100 mAh,,Yes,4,,,,,,,5.5 inch,,,128 GB,Yes,,,Class 12,,Yes,,,,32 GB,"4G, 3G, Wi-Fi, GPRS, EDGE",,Dedicated Slot,,,,,"Gionee P7 Max (Gold, 32 GB)Â Â (3 GB RAM)",Android Marshmallow 6,"IPS with NEG Protection Display, 3D Mirror Body",,"‚¹7,777",13MP,Yes,"Face Beauty, HDR, Night Mode, Panorama, Professional, Time Lapse, Smart Scene, Text Recognition, Macro, GIF, Pic Note, Ultra Pixel, Smart Scan, Mood Photo",2.2 GHz,Octa Core,Mediatek MT6595 Octa Core 2.2GHz,,3 GB,1280 x 720 Pixels,,,Micro SIM,Yes,5MP,Yes,Selfies,"Digital Compass, G Sensor (Auto Rotation), Proximity Sensor, Light Sensor",,,"4G LTE, 4G LTE",,,,,182 g,802.11 b/g/n
1081,,,,,,,,3.5 mm,,2600 mAh,,Yes,4,,,,,,,5 inch,LCD,,32 GB,Yes,,,Class 12,,Yes,Adreno 405; 550 MHz,,,16 GB,"4G, 3G, Wi-Fi, GPRS, EDGE",,,,,,,"LYF Water 1 (White, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.1.1,"IPS Technology, 441 PPI, In-cell Technology, Scratch Resistant, Curved Edge, 5-point Multi-touch, Screen Mirroring",,"‚¹14,699",13MP,Yes,"HDR, Face Detection, Auto Focus, Touch Focus, Panorama",1.5 GHz,Dual Core,qualcomm Qualcomm Snapdragon 615 64-bit Dual Core 1.5GHz,,2 GB,1920 x 1080 pixel,,,Micro SIM and Nano SIM,Yes,5MP,Yes,"Flash Support, Selfies, Video Calling, Fixed Focus","Gravity Sensor, Ambient Light Sensor, Proximity Sensor, eCompass, Accelerometer",,,"4G LTE, GSM",,,,,122 g,802.11 b/g/n
1082,,,,,,,,,,2800 mAh,,Yes,,,,,,,,5 inch,,,,,,,,,,,,,16 GB,,,Hybrid Slot,,,,,"Moto E4 (Blush Gold, 16 GB)Â Â (2 GB RAM)",Android Nougat 7.1.1,,,"‚¹7,950",8MP,,,1.3 GHz,Quad Core,,,2 GB,720 x 1280 Pixels,,,,,,,,,,,"4G LTE, GSM",,,,,,
1083,,,,,,,,3.5mm,,4000 mAh,,Yes,,,,,,,,5 inch,,,128 GB,Yes,,,,,Yes,,,,16 GB,,,Dedicated Slot,,,,,"Comio C2 (Royal Black, 16 GB)Â Â (2 GB RAM)",Android Nougat 7,,,"‚¹6,897",8MP,Yes,,1.3 GHz,Quad Core,,,2 GB,1280x720 Pixels,,,,Yes,8MP,Yes,,"Accelerometer, Proximity Sensor, Ambient Light Sensor",,,"4G VoLTE, GSM",,,,,165.4 g,
1084,,,,,,,,3.5 mm,,2800,,Yes,2.1,,,,,,Yes,2.4,QVGA,,32 MB,Yes,,,,,No,,No,,32 MB,,,Dedicated Slot,,,,No,Mtech BossÂ Â (Gold & Black),,,,"‚¹1,149",0.3MP,Yes,,,,,,32 MB,240 x 320$$Pixels,,,Regular SIM,Yes,0MP,No,,,,,"GSM, GSM",,,,,,
1085,,,,,,,,,,2200 mAh,,Yes,4,,,,,,,5 inch,IPS On Cell,,128 GB,,,,,,Yes,,,,16 GB,"3G, 4G, EDGE, GPRS, Wi-Fi",,Hybrid Slot,,,,,"Panasonic Eluga I2 Activ (Grey, 16 GB)Â Â (1 GB RAM)",Android Nougat 7,HD IPS On Cell Display with Asahi Dragontrail Glass,,"‚¹6,050",8MP,Yes,"5P Lens Element, F2.2 Aperture, Modes: HDR, Panoramic",1.25 GHz,Quad Core,MTK6737,,1 GB,1280 x 720 Pixels,,,Micro SIM and Nano SIM,Yes,5MP,Yes,"F2.2 Aperture, 4P Lens Elements, Modes: Beauty Mode, HDR","Accelerometer, Proximity Sensor, Ambient Light Sensor",,,"4G VoLTE, UMTS, GSM, 4G LTE, WCDMA",,,,,133 g,802.11 b/g/n
1086,,,,,,,,3.5 mm,,2300 mAh,,Yes,,,,,,,,5 inch,HD Display,,32 GB,Yes,,,,,,,,,16 GB,Yes,,Dedicated Slot,,,,,"Karbonn K9 Kavach (Black, 16 GB)Â Â (2 GB RAM)",Android Nougat 7,,,"‚¹5,399",5MP,Yes,5 MP Rear Camera with Auto Focus,1.25 GHz,Quad Core,,,2 GB,1280 x 720$$Pixels,,,,Yes,,Yes,5 MP Front Camera,"Proximity, Ambient Light Sensor, Finger Print Sensor",,,"4G LTE, GSM",,,,,,
1087,,,,,,,,3.5 mm,,1000 mAh,,Yes,,,,,,,,1.8 inch,QVGA,,,Yes,,,,,,,No,,20 MB,,,Dedicated Slot,,,,,Lemon Lemo 102Â Â (Dark Blue),,,,‚¹750,0.3MP,Yes,,1 MHz,,,,1 MB,120 x 160$$Pixels,,,Regular SIM,Yes,,No,,,,,"GSM, GSM",,,,,,
1088,,,,,,,,,,1100 mAh,,,,,,,,,,4.06 inch,,,,,,,,,,,,,,,,,,,,,Celkon C349Â Â (Black & Red),,,,‚¹950,,,,,,,,,240 x 320 Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
1089,,,,,,,,,,1800 mAh,,,,,,,,,,2.4 inch,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,MU M6Â Â (Gold),,,,"‚¹1,095",1.3MP,Yes,,1.2 MHz,,,,32 MB,320 x 480 pixels,,,,,,,,,,,"GSM, GSM",,,,,,
1090,,,,,,,,,,1200 mAh,,,,,,,,,,1.77 inch,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Whitecherry 3310Â Â (Red),,,,‚¹647,0.8MP,,,1.1 MHz,,,,32 MB,128 x 260$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
1091,,,HSPA+,,,,,3.5 mm,,3050 mAh,,Yes,v4.1,,,,,,,5.5 inch,,,128 GB,Yes,,,,,Yes,Mali T860 MP2,,,64 GB,"4G, 3G, Wi-Fi, GPRS, EDGE",,Hybrid Slot,,,,,"Moto M (Gold, 64 GB)Â Â (4 GB RAM)",Android Marshmallow 6,"Corning Gorilla Glass, IPS LCD Display, 10 Point Multi-touch",,"‚¹11,190",16MP,Yes,"PDAF, f/2.0, ZSL, Touch Focus, Face Detection, Panorama, Auto HDR",2.2 GHz,Octa Core,MediaTek Helio P15 64-bit Octa Core 2.2GHz,,4 GB,1920 x 1080 pixels,,,Nano SIM,Yes,8MP,Yes,"Fixed Focus, Large Pixel","Fingerprint Sensor, Vibration Sensor, Accelerometer Sensor, Proximity Sensor, E-compass, Gyroscope, Ambient Light Sensor",,,"4G LTE, 4G LTE",,,,,163 g,802.11 a/b/g/ac
1092,,,,,,,,3.5 mm,,1500 mAh,,Yes,,,,,,,,1.8 inch,TFT LCD,,8 GB,Yes,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Tork T12Â Â (Black Green),,,,‚¹849,0.3MP,Yes,,,,,,32 MB,320 x 240 Pixels,,,Normal SIM,,,,,,,,"GSM, GSM",,,,,,
1093,,,,,,,,,,4000 mAh,,Yes,,,,,,,,2.4 inch,,,8 GB,Yes,,,,,,,,,256 MB,,,Dedicated Slot,,,,,GreenBerry W1Â Â (Grey),,,,"‚¹1,399",1.3MP,,,1.2 MHz,,,,256 MB,320 x 480$$Pixels,,,,,,,,,,,"GSM, GSM, GSM, GSM",,,,,,
1094,,,,,,,,3.5mm,,800 mAh,,Yes,4,,,,,,,1.8 inch,,,16 GB,Yes,,,,,,,,,,,,Dedicated Slot,,,,,XCCESS X490Â Â (Black),,,,‚¹745,0.3MP,,,1 MHz,,,,32 MB,128 x 160 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,70 g,
1095,,,,,,,,,,2500 mAh,,Yes,,,,,,,,5 inch,,,32 GB,Yes,,,,,Yes,,Yes,,16 GB,,,Dedicated Slot,,,,,"Celkon UFEEL (Blue & Black, 16 GB)Â Â (2 GB RAM)",Android Nougat 7.0,,,"‚¹4,999",8MP,Yes,Auto Focus with Flash Light,1.3 GHz,Quad Core,,,2 GB,720 x 1280$$Pixels,,,Micro SIM,Yes,,Yes,,"Gravity Sensor, Proximity Sensor, Light Sensor",,,"4G VoLTE, GSM",,,,,,
1096,,,,,,,,,,950,,,,,,,,,,1.8,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Gfive U550Â Â (White & Purple),No,,,‚¹699,1.3MP,,,1.2 MHz,,,,32 MB,320 x 400$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
1097,,,,,,,,,,400 mAh,,,,,,,,,,1.44 inch,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Chilli C10Â Â (Green),,,,‚¹999,0.3MP,,,,,,,32 MB,120 x 240 Pixels,,,,,,,,,,,GSM,,,,,,
1098,,,,,,,,,,1050 mAh,,,,,,,,,,2.4 inch,,,,,,,,,,,,,32 MB,,,,,,,,"Adcom X17 (TRENDY) Dual Sim Mobile-White & OrangeÂ Â (White, Orange)",,,,‚¹751,0MP,,,,,,,32 MB,240*320,,,Normal,Yes,,,,,,,"GSM, GSM",,,,,,
1099,,,,,,,,,,2500 mAh,,,,,,,,,,5.3 inch,,,,,,,,,,,,,16 GB,"2G, 3G, Wi-Fi",,,,,,,"Panasonic P55 Novo (Midnight Blue, 16 GB)Â Â (2 GB RAM)",Android KitKat 4.4,,,"‚¹8,990",13MP,,,1.4 GHz,Octa Core,0 0 Octa Core 1.4GHz,,2 GB,720*1080,,,,,5MP,Yes,,,,,"UMTS, UMTS",,,,,,
1100,,,,,,,,3.5 mm,,1000,,Yes,2.0,,,,,,,1.8,,,32 GB,,,,,,,,No,,128 MB,WAP,,Dedicated Slot,,,,,Telup T1Â Â (White & Blue),,,,‚¹749,0.3MP,Yes,,600 MHz,,,,32 MB,128 x 128$$Pixels,,,Micro SIM,Yes,,No,,None,,,"GSM, GSM",,,,,,
1101,,,,,,,,3.5 mm,,1300 mAh,,,,,,,,,,2.4 inch,TFT,,,,,,,,,,,,4 GB,,,,,,,,"Panasonic T31 (White, 4 GB)Â Â (512 MB RAM)",Android Jelly Bean 4/2/2002,,,"‚¹3,160",5MP,Yes,,,Dual Core,,,512 MB,480 x 800 Pixels,,,,,0.3MP,,,Accelerometer,,,"UMTS, UMTS",,,,,120 g,
1102,,,"42 Mbps HSDPA; 5.76 Mbps HSUPA, HSPA+",,,,,3.5 mm,,3000 mAh,,Yes,v4.2,,,,,,,5.5 inch,,,128 GB,Yes,,,,,Yes,Adreno 505,,,32 GB,"4G, 3G, Wi-Fi",,Hybrid Slot,,,,,"Asus Zenfone 3 Laser (Silver, 32 GB)Â Â (4 GB RAM)",Android Marshmallow 6,"77% Screen-to-body Ratio, Brightness: 500 nits, Bluelight Filter for Eye Care, Corning Gorilla Glass3, 2.5D Contoured Glass, 178 degree Wide Viewing Angle",,"‚¹9,999",13MP,Yes,"f/2.0 Aperture, Sony IMX 214 Sensor,5 P Lens, 0.03Sec Tritech Laser Autofocus system, 3-axis Electronic Image Stabilization for Shake Free Videos, 32 sec Long Exposure, Color Correction (RGB) Sensor for the Best White Balance and Natural Looking Colors, Back Light (HDR) Mode, Low Light Mode, Manual Mode (for DSLR-like Camera Detail Settings), Real Time Beautification Mode, Super Resolution Mode (for Upto 4x Resolution Photos), Night Mode, Depth of Field Mode, Photo Effect Mode, Selfie Panorama, Selfie Mode, GIF Animation Mode, Slow Motion Mode, Time Lapse Mode",1.4 GHz,Octa Core,Qualcomm Snapdragon 430 64-bit Octa Core 1.4GHz,,4 GB,1920 x 1080 Pixels,,,Nano SIM,Yes,8MP,Yes,"f/2.0 Aperture, Back Light (HDR) Mode, Low Light Mode, Real Time Beautification Mode, Panorama Selfie Mode","Accelerator, E-Compass, Gyroscope, Proximity Sensor, Hall Sensor, Ambient Light Sensor, RGB Sensor, Fingerprint",,,"4G LTE, 4G LTE",,,,,150 g,802.11 b/g/n/ac
1103,,,,,,,,3.5 mm,,2800 mAh,,Yes,4.1,,,,,,16 M,5.3 inch,,,2 TB,Yes,,,Class 12,,,Mali-T860 MP2,Yes,,16 GB,,,Dedicated Slot,,,,,"LG K10 2017 (Titan, 16 GB)Â Â (2 GB RAM)",Android Nougat 7,,,"‚¹10,099",13MP,,,1.5 GHz,Octa Core,,,2 GB,1280 x 720 Pixels,,,Nano SIM,Yes,,,,"Proximity Sensor, Accelerometer, Digital Compass, Ambient Light Sensor, Hall IC Sesnor",,,"GSM, 4G LTE",,,,,,802.11 b/g/n
1104,,,,,,,,3.5 mm,,3000 mAh,,,,,,,,,,2.4 inch,,,16 GB,Yes,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Karbonn K451 PowerÂ Â (Champagne & Black),,,,"‚¹1,149",0.3MP,,,,,,,32 MB,240 x 320$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
1105,,,,,,,,3.5 mm,,2800 mAh,,Yes,2,,,,,,65 K,1.8 inch,TFT,,8 GB,Yes,,,,,,,,,30 KB,2G,,Hybrid Slot,,,,,JIVI X111Â Â (Black & Green),,,,‚¹965,0.3MP,Yes,,,,,,3 MB,240 x 320 Pixels,,,Normal SIM,Yes,,,,,,,"GSM, GSM",,,,,100 g,
1106,,,,,,,,3.5mm,,950 mAh,,Yes,2,,,,,,65 K,2 inch,TFT,,16 GB,Yes,,,,,,No,,,256 MB,"GPRS, WAP",,,,,,,Micromax X2050Â Â (Black),,,,"‚¹1,290",0.08MP,Yes,Digital Camera,,,,,256 MB,176 x 220 Pixels,,,Micro SIM,Yes,,,,,,,"GSM, GSM",,,,,70 g,
1107,,,,,,,,3.5 mm,,800 mAh,,Yes,2,,,,,,65 K,1.8 inch,TFT,,8 GB,Yes,,,,,,,,,,WAP,,Dedicated Slot,,,,,JIVI X57i SelfieÂ Â (White & Silver),,,,‚¹839,1.3MP,Yes,,1 MHz,,,,0.032 MB,169 x 128 pixels,,,Normal SIM,Yes,0.3MP,Yes,,,,,"GSM, GSM",,,,,95 g,
1108,,,,,,,,,,950,,,,,,,,,,1.8,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Gfive U440Â Â (Black),No,,,‚¹699,1.3MP,,,1.2 MHz,,,,32 MB,320 x 400$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
1109,,,"42 Mbps HSDPA; 5.76 Mbps HSUPA, HSPA+",,,,,3.5 mm,,2110 mAh,,Yes,4,,,,,,,5 inch,,,64 GB,Yes,,,,,Yes,,,,8 GB,"3G, Wi-Fi, GPRS, EDGE",,,,,,No,"Asus Zenfone 5 A501CG (White, 8 GB)Â Â (2 GB RAM)",Android Jelly Bean 4.3,"10-finger Multi-touch Panel, Supports Glove Touch Input, IPS Display, Corning Gorilla Glass 3",,"‚¹8,660",8MP,Yes,Auto Focus,1.6 GHz,Dual Core,Intel Atom Z2560 Processor with Intel Hyper Threading Technology,,2 GB,1280 x 720 Pixels,,,Micro SIM,Yes,2MP,Yes,,"eCompass, Proximity Sensor, G-Sensor, Hall Sensor, Light Sensor",,,"GSM, GSM",,,,,145 g,802.11 b/g/n
1110,,,,,,,,,,800,,,,,,,,,,1.8,,,,,,,,,,,,,64 MB,,,Dedicated Slot,,,,,I Kall K12 NewÂ Â (Dark Blue),,,,"‚¹1,199",0MP,,,,,,,32 MB,128 x 160$$Pixels,,,Normal SIM,Yes,,,,,,,"GSM, GSM",,,,,,
1111,,,HSPA+,,,,,,,,,Yes,v4.2,,,,,,,5.5 inch,LED-backlit IPS,,,,,,,,Yes,,,,128 GB,"4G, 3G, Wi-Fi, GPRS, EDGE",,,,,,Yes,"Apple iPhone 7 Plus (Black, 128 GB)",iOS 10,"Retina HD Display, Multi-touch Display, 1300:1 Contrast Ratio, Wide Color Display (P3), 625 cd/m2 Maximum Brightness, Dual Domain Pixels for Wide Viewing Angles, Fingerprint Resistant Oleophobic Coating, Display of Multiple Languages and Characters Simultaneously, Display Zoom, Reachability",,"‚¹65,479",12MP + 12MP,Yes,"Wide Angle and Telephoto Cameras, Wide-angle: f/1.8 Aperture, Telephoto: f/2.8 Aperture, Optical Image Stabilization, Six Element Lens, Panorama (Upto 63 MP), Sapphire Crystal Lens Cover, Backside Illumination Sensor, Hybrid IR Filter, Autofocus with Focus Pixels, Tap to Focus with Focus Pixels, Live Photos with Stabilization, Wide Color Capture for Photos and Live Photos, Improved Local Tone Mapping, Body and Face Detection, Exposure Control, Noise Reduction, Auto HDR for Photos, Auto Image Stabilization, Burst Mode, Timer Mode, Photo Geotagging, Time Lapse Video with Stabilization, Cinematic Video Stabilization (1080p and 720p), Continuous Auto Focus Video, Take 8 MP Still Photos While Recording 4K Video, Playback Zoom, Video Geotagging",,,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,,,1920 x 1080 Pixels,,,Nano Sim,Yes,7MP,Yes,"1080p HD Video Recording, Retina Flash, f/2.2 Aperture, Wide Color Capture for Photos and Live Photos, Auto HDR, Backside Illumination Sensor, Body and Face Detection, Auto Image Stabilization, Burst Mode, Exposure Control, Timer Mode, FaceTime Video Calling Over Wi-Fi or Cellular","Touch ID Fingerprint Sensor, Barometer, Three-axis Gyro Sensor, Accelerometer, Proximity Sensor, Ambient Light Sensor, Backside Illumination Sensor, Digital Compass",,,4G LTE,,,,,188 g,802.11 a/b/g/n/ac
1112,,,,,,,,,,1200 mAh,,,,,,,,,,2.4 inch,,,,,,,,,,,,,40 KB,,,,,,,,Micromax 318Â Â (Black),0,,,‚¹999,.03MP,,,,,,,56 MB,320X420,,,,,,,,,,,"GSM, GSM",,,,,,
1113,,,HSPA+,,,,,,,2620 mAh,,Yes,4.2,,,,,,,5.2 inch,TFT,,128 GB,Yes,,,,,Yes,,,,32 GB,"4G, 3G, GPRS, EDGE, Wi-Fi",,Dedicated Slot,,,,,"Sony Xperia R1 Plus Dual (Black, 32 GB)Â Â (3 GB RAM)",Android Nougat 7,2.5D Curved Glass,,"‚¹12,490",13MP,Yes,"Predictive Hybrid Autofocus, Exmor Sony Sensor, Continuous Shooting, 12 Capturing Modes, 8X Clear Zoom, ISO 3200 for Photos, Countdown Timer, Beauty Mode, Face Detection, Portrait, Landscape, Sports, Macro, Night Mode",2.4 GHz,Octa Core,Qualcomm Snapdragon 430 64-bit,,3 GB,1280 x 720 Pixels,,,Nano SIM,,8MP,Yes,"Predictive Hybrid Autofocus, Continuous Shooting, 12 Capturing Modes, 8X Clear Zoom, ISO 3200 for Photos, ISO 2400 for Videos, Countdown Timer, Beauty Mode, Face Detection",,,,"4G VoLTE, UMTS, GSM, 4G LTE, WCDMA",,,,,154 g,
1114,,,,,,,,3.5 mm,,2000 mAh,,Yes,,,,,,,260 K,2.4 inch,QVGA,,16 GB,Yes,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Mtech L10Â Â (Black & Gold),,,,"‚¹1,199",0.08MP,Yes,,,,,,,320 x 240 Pixels,,,Normal SIM,Yes,,,,,,,"GSM, GSM",,,,,,
