,2G bands,3.5mm jack,3G bands,4G bands,Alert types,Announced,Audio Jack,Audio quality,Battery,Battery life,Bluetooth,Bluetooth Support,Browser,Browser,Build,CPU,Camera,Card slot,Chipset,Colors,Dimensions,Display,EDGE,Expandable Storage,Features,GPRS,GPRS Features,GPS,GPS Support,GPU,Instant Message,Internal,Internal Storage,Internet Connectivity,Loudspeaker,Messaging,Multitouch,Music play,NFC,Name,OS,Performance,Price,Primary,Primary Camera Available,Primary Camera Features,Primary Clock Speed,Protection,RAM,Radio,Resolution,SAR,SAR EU,SIM,SMS,Secondary,Secondary Camera Available,Secondary Camera Features,Sensors,Size,Speed,Stand-by,Status,Talk time,Technology,Type,USB,Video,WLAN,Weight,Wi-Fi Version
2326,GSM 850 / 900 / 1800 / 1900 ,No,,,"Vibration; Downloadable polyphonic, MP3 ringtones","2007, February",,,Removable Li-Po 1050 mAh battery,,"2.0, A2DP",,"WAP 2.0/xHTML, HTML (PocketIE)","WAP 2.0/xHTML, HTML (PocketIE)",,200 MHz ARM926EJ-S,,microSD (dedicated slot),TI OMAP 850,Black/Silver,101 x 50 x 17.7 mm (3.98 x 1.97 x 0.70 in),,Class 10,,,Class 10,,No,,,,"64 MB RAM, 128 MB ROM",,,,"SMS, MMS, Email, Instant Messaging",,,,HTC S710,Microsoft Windows Mobile 6.0 Standard,,About 200 EUR,2 MP,,,,,,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",0.54 W/kg (head)     0.81 W/kg (body)     ,0.80 W/kg (head)     ,Mini-SIM,,No,,,,"2.4 inches, 17.8 cm2 (~35.3% screen-to-body ratio)",,Up to 175 h,Discontinued,Up to 7 h,GSM,"TFT, 65K colors",Proprietary,Yes,Wi-Fi 802.11b/g,120 g (4.23 oz),
2327,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,,,"Vibration, MP3 ringtones","2012, July. Released 2012, July",,,Removable Li-Ion 1000 mAh battery,,3,,WAP 2.0/xHTML,WAP 2.0/xHTML,,208 MHz,,"microSD, up to 32 GB (dedicated slot)",,"Silver, white",113 x 46 x 13.9 mm (4.45 x 1.81 x 0.55 in),,No,,,Yes,,No,,,,20 MB,,,,"SMS, MMS, Email",,,,Samsung E2252,,,About 30 EUR,VGA,,,,,,FM radio,128 x 160 pixels (~102 ppi density),,0.93 W/kg (head)     ,Dual SIM (Mini-SIM),,No,,,,"2.0 inches, 12.6 cm2 (~24.2% screen-to-body ratio)",,Up to 760 h,Discontinued,Up to 11 h 50 min,GSM,"TFT, 256K colors",microUSB 2.0,QCIF@15fps,No,79 g (2.79 oz),
2328,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA 850 / 1700(AWS) / 1900 / 2100 ,"LTE band 2(1900), 4(1700/2100), 7(2600), 12(700), 17(700)","Vibration; MP3, WAV ringtones","2016, November",,,Non-removable Li-Po 3700 mAh battery,,"4.1, A2DP, LE",,HTML5,HTML5,,Quad-core 1.3 GHz Cortex-A53,,"microSD, up to 64 GB",Mediatek MT6737,Dark Blue,154.5 x 77.1 x 8.7 mm (6.08 x 3.04 x 0.34 in),,Yes,,"Geo-tagging, touch focus, face detection, HDR",Yes,,"Yes, with A-GPS",,Mali-T720,,"16 GB, 2 GB RAM",,,,"SMS(threaded view), MMS, Email, Push Email, IM",Yes,,,BLU Life Max,Android 6.0 (Marshmallow),,,"8 MP, autofocus, LED flash",,,,,,FM radio,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,Dual SIM (Micro-SIM),,"5 MP, LED flash",,,"Fingerprint (rear-mounted), accelerometer, proximity","5.5 inches, 83.4 cm2 (~70.0% screen-to-body ratio)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Up to 700 h (2G) / Up to 550 h (3G),"Available. Released 2016, November",Up to 28 h (2G) / Up to 19 h (3G),GSM / HSPA / LTE,"IPS LCD capacitive touchscreen, 16M colors","microUSB 2.0, USB Host",1080p@30fps,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",153 g (5.40 oz),
2329,GSM 850 / 900 / 1800 / 1900 ,Yes,HSDPA 850 / 900 / 1900 / 2100 ,,"Vibration; MP3, WAV ringtones","2010, January. Released 2010, March",,"
Noise -63.1dB / Crosstalk -59.9dB",Removable Li-Ion 1400 mAh battery,,"2.1, A2DP",,HTML,HTML,,528 MHz ARM 11,"
Photo","microSD, up to 32 GB (dedicated slot), 2 GB included",Qualcomm MSM7201A,Platinum Silver,108 x 53 x 15.3 mm (4.25 x 2.09 x 0.60 in),,Class 12,,Geo-tagging,Class 12,,"Yes, with A-GPS",,Adreno 130,,"512 MB, 256 MB RAM",,,"
Voice 71dB / Noise 67dB / Ring 78dB

","SMS, MMS, Email, Push Email, IM",,,,Motorola BACKFLIP,"Android 1.5 (Cupcake), upgradable to 2.1 (Eclair) in USA",,About 150 EUR,"5 MP, autofocus, LED flash, check quality",,,,Corning Gorilla Glass,,No,"320 x 480 pixels, 3:2 ratio (~186 ppi density)",0.58 W/kg (head)     0.60 W/kg (body)     ,,Mini-SIM,,No,,,"Accelerometer, proximity, compass","3.1 inches, 28.6 cm2 (~50.0% screen-to-body ratio)",HSPA 7.2/0.384 Mbps,Up to 315 h,Discontinued,Up to 6 h,GSM / HSPA,"TFT capacitive touchscreen, 256K colors (65K effective)",microUSB 2.0,CIF@30fps,Wi-Fi 802.11 b/g,133 g (4.69 oz),
2330,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,,,"Vibration, Polyphonic, MP3 ringtones",2011,,,Removable Li-Ion 1000 mAh battery,,2,,Yes,Yes,,,,"microSD, up to 16 GB (dedicated slot)",,"Yellow, Black",108.3 x 54.8 x 12.5 mm (4.26 x 2.16 x 0.49 in),,No,,,Yes,,No,,,,,,,,"SMS, MMS",,,,Celkon C555,,,,2 MP,,,,,,Stereo FM radio,"240 x 400 pixels, 5:3 ratio (~146 ppi density)",,,Dual SIM (Mini-SIM),,No,,,,"3.2 inches, 29.1 cm2 (~49.1% screen-to-body ratio)",,Up to 400 h,Discontinued,Up to 5 h,GSM,TFT touchscreen,microUSB,Yes,No,108 g (3.81 oz),
2331,GSM 850 / 1900 ,No,,,Vibration; MP3 ringtones,"2011, February. Released 2011, Q3",,,Removable Li-Ion 850 mAh battery,,"2.0, A2DP",,"WAP 2.0/xHTML, HTML","WAP 2.0/xHTML, HTML",,208 MHz,,"microSD, up to 8 GB (dedicated slot)",,"Black/red, Cherry/red",111 x 58.2 x 14 mm (4.37 x 2.29 x 0.55 in),,Class 12,,,Class 12,,No,,,,70 MB,,,,"SMS, MMS, Email, IM",,Up to 16 h,,alcatel OT-799 Play,,,,2 MP,,,,,,"Stereo FM radio, RDS","320 x 240 pixels, 4:3 ratio (~167 ppi density)",,,Mini-SIM,,No,,,,"2.4 inches, 17.8 cm2 (~27.6% screen-to-body ratio)",,Up to 600 h,Discontinued,Up to 10 h,GSM,"TFT, 65K colors",microUSB 2.0,Yes,No,100.6 g (3.53 oz),
2332,GSM 850 / 900 / 1800 / 1900 ,No,,,Vibration; MP3 ringtones,"2009, October. Released 2009, December",,,Removable Li-Ion battery,,"2.0, A2DP",,WAP 2.0/xHTML,WAP 2.0/xHTML,,,,"microSD, up to 16 GB (dedicated slot)",,Black,111.8 x 50.8 x 17.8 mm (4.40 x 2.0 x 0.70 in),,Class 10,,,Class 10,,No,,,,,,,,"SMS, MMS, Email",,,,Samsung T401G,,,About 40 EUR,1.3 MP,,,,,,No,176 x 220 pixels (~134 ppi density),0.47 W/kg (head)     0.76 W/kg (body)     ,,Mini-SIM,,No,,,,"2.1 inches, 13.9 cm2 (~24.4% screen-to-body ratio)",,Up to 360 h,Discontinued,Up to 5 h,GSM,"TFT, 65K colors",2,Yes,No,123 g (4.34 oz),
2333,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA 900 / 2100 ,,"Vibration; MP3, WAV ringtones","2016, July",,,Non-removable Li-Ion 2500 mAh battery,,"4.0, A2DP",,HTML,HTML,,Quad-core 1.3 GHz Cortex-A7,,"microSD, up to 32 GB",Spreadtrum SC7731,Black,153.8 x 77.5 x 9.1 mm (6.06 x 3.05 x 0.36 in),,Yes,,Yes,Yes,,"Yes, with A-GPS",,,,"8 GB, 1 GB RAM",,,,"SMS(threaded view), MMS, Email, IM",Yes,,,Micromax Canvas Spark 3 Q385,Android 5.1 (Lollipop),,About 70 EUR,"8 MP, autofocus, LED flash",,,,,,FM radio,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,"Dual SIM (Micro-SIM, dual stand-by)",,5 MP,,,Accelerometer,"5.5 inches, 83.4 cm2 (~70.0% screen-to-body ratio)",HSPA 21.1/5.76 Mbps,Up to 360 h,"Available. Released 2016, July",Up to 7 h 30 min,GSM / HSPA,"IPS LCD capacitive touchscreen, 16M colors",microUSB 2.0,1080p,"Wi-Fi 802.11 b/g/n, hotspot",~ 175 g (6.17 oz),
2334,GSM 900 / 1800 ,No,,,Vibration; Downloadable monophonic ringtones,2002,,,Removable Li-Ion 825 mAh battery (BLC-2),,No,,WAP 1.1,WAP 1.1,,,,No,,Xpress-on front and back covers,"115 x 49 x 22.5 mm, 100 cc (4.53 x 1.93 x 0.89 in)",,No,,,No,,No,,,,,,,,"SMS, EMS",,,,Nokia 3410,,,,,,,,,,No,"96 x 65 pixels, 6 lines, 3:2 ratio",,0.81 W/kg (head)     ,Mini-SIM,,,,,,,,55h - 260h,Discontinued,2h 20min - 4h 10 min,GSM,Monochrome graphic,,,No,114 g (4.02 oz),
2335,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 38(2600), 40(2300)","Vibration; MP3, WAV ringtones","2017, June",,,Non-removable Li-Ion 2400 mAh battery,,"4.2, A2DP, LE",,HTML5,HTML5,Aluminum body,Quad-core 1.4 GHz Cortex-A53,,"microSD, up to 256 GB (dedicated slot)",Exynos 7570 Quad,"White, Black, Gold, Blue",143.2 x 70.3 x 8.2 mm (5.64 x 2.77 x 0.32 in),,Yes,,"Geo-tagging, touch focus, face detection, HDR, panorama",Yes,,"Yes, with A-GPS, GLONASS, BDS",,Mali-T720 MP2,,"16 GB, 2 GB RAM",,,,"SMS(threaded view), MMS, Email, Push Email, IM",Yes,Up to 61 h,Yes (optional),Samsung Galaxy J3 (2017),Android 7.0 (Nougat),,About 150 EUR,"13 MP, f/1.9, autofocus, LED flash",,,,,,FM radio,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,0.66 W/kg (head)     1.32 W/kg (body)     ,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",,"5 MP, f/2.2, LED flash",,,"Accelerometer, proximity","5.0 inches, 68.9 cm2 (~68.5% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,"Available. Released 2017, July",Up to 15 h (3G),GSM / HSPA / LTE,"PLS capacitive touchscreen, 16M colors","microUSB 2.0, USB On-The-Go",1080p@30fps,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",142 g (5.01 oz),
2336, N/A,Yes,,,"Vibration; MP3, WAV ringtones","2014, April",,,Non-removable Li-Po 6800 mAh battery,,"4.0, A2DP",,HTML5,HTML5,,Quad-core 1.2 GHz,,"microSD, up to 64 GB (dedicated slot)",Qualcomm Snapdragon 400,"White, Black",243.4 x 176.4 x 8 mm (9.58 x 6.94 x 0.31 in),,No,,Geo-tagging,No,,"Yes, with GLONASS",,Adreno 305,,"16 GB, 1.5 GB RAM",,,,"Email, Push Email, IM",Yes,Up to 208 h,,Samsung Galaxy Tab 4 10.1 ,Android 4.4.2 (KitKat),,About 270 EUR,3.15 MP,,,,,,No,"1280 x 800 pixels, 16:10 ratio (~149 ppi density)",1.07 W/kg (body)     ,0.29 W/kg (body)     ,No,,1.3 MP,,,Accelerometer,"10.1 inches, 295.8 cm2 (~68.9% screen-to-body ratio)",,,"Available. Released 2014, June",Up to 10 h (multimedia),No cellular connectivity,"TFT capacitive touchscreen, 16M colors",microUSB 2.0,720p@30fps,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",487 g (1.07 lb),
2337,GSM 850 / 900 / 1800 / 1900 ,Yes,UMTS 900 / 2100 ,,"Vibration; Downloadable polyphonic, MP3 ringtones","2008, November. Released 2008, December",,"
Noise -75.0dB / Crosstalk -74.9dB",Removable Li-Po 1500 mAh battery (BP-4L),,"2.0, A2DP",,"WAP 2.0/xHTML, HTML","WAP 2.0/xHTML, HTML",,ARM 11 369 MHz,,"microSD, up to 16 GB (dedicated slot)",,"Ultramarine Blue, Ruby Red, Black","113 x 59 x 13 mm, 87 cc (4.45 x 2.32 x 0.51 in)",,"Class 32, 296 kbps",,Video-calling,"Class 32, 100 kbps",,No,,,,120 MB,,,"
Voice 64dB / Noise 62dB / Ring 69dB

","SMS, MMS, Email, Instant Messaging",,Up to 18 h,,Nokia E63,"Symbian OS 9.2, Series 60 v3.1 UI",,About 120 EUR,"2 MP, LED flash",,,,,,FM radio,"320 x 240 pixels, 4:3 ratio (~169 ppi density)",1.06 W/kg (head)     0.62 W/kg (body)     ,1.03 W/kg (head)     ,Mini-SIM,,No,,,,"2.36 inches, 17.2 cm2 (~25.9% screen-to-body ratio)","Yes, 384 kbps",Up to 432 h (2G) / 480 h (3G),Discontinued,Up to 11 h (2G) / 4 h 40 min (3G),GSM / UMTS,"TFT, 16M colors",microUSB 2.0,320p@15fps,Wi-Fi 802.11 b/g,126 g (4.44 oz),
2338,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,,,"Vibration, Polyphonic, MP3 ringtones",2011,,,Removable Li-Ion 1000 mAh battery,,"2.1, A2DP",,WAP,WAP,,,,"microSD, up to 16 GB (dedicated slot)",,"Black, Yellow",116.7 x 52 x 20.3 mm (4.59 x 2.05 x 0.80 in),,Class 10,,,Class 10,,No,,,,,,,,"SMS, MMS, IM",,,,Micromax X450,,,About 40 EUR,2 MP,,,,,,Stereo FM Radio,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,"Dual SIM (Mini-SIM, dual stand-by)",,No,,,,"2.4 inches, 17.8 cm2 (~29.4% screen-to-body ratio)",,Up to 300 h,Discontinued,Up to 4 h 30 min,GSM,"TFT, 256K colors",microUSB,Yes,No,90.8 g (3.17 oz),
2339,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,,,"Vibration; MP3, WAV ringtones","2011, August. Released 2011, Q3",,,Removable Li-Ion 750 mAh battery,,"2.1, A2DP, EDR",,WAP 2.0/xHTML,WAP 2.0/xHTML,,,,"microSD, up to 16 GB (dedicated slot)",,Black/Gray,106 x 53 x 13.9 mm (4.17 x 2.09 x 0.55 in),,Class 12,,,Class 12,,No,,,,5 MB,,,,"SMS, MMS, Email",,,,Motorola EX212,,,About 80 EUR,2 MP,,,,,,Stereo FM radio,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,"Dual SIM (Mini-SIM, dual stand-by)",,No,,,,"2.4 inches, 17.8 cm2 (~31.8% screen-to-body ratio)",,Up to 625 h,Discontinued,Up to 6 h 20 min,GSM,"TFT,  256K colors",microUSB 2.0,@15fps,No,105 g (3.70 oz),
2340,GSM 850 / 900 / 1800 / 1900 ,Yes,HSDPA 850 / 900 / 1800 / 1900 / 2100 - XT1562,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 19(800), 20(800), 28(700), 38(2600), 41(2500) - XT1562","Vibration; MP3, WAV ringtones","2015, July",,"
Noise -93.8dB / Crosstalk -95.2dB",Non-removable 3630 mAh battery,"

Endurance rating 83h

","4.0, A2DP, LE, aptX",,HTML5,HTML5,,Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"
Photo / Video","microSD, up to 256 GB (dedicated slot)",Qualcomm MSM8939 Snapdragon 615,"Black, White",148 x 75 x 10.9 mm (5.83 x 2.95 x 0.43 in),"
Contrast ratio: 1520:1 (nominal), 3.222 (sunlight)",Yes,,"Geo-tagging, touch focus, face detection, panorama, auto-HDR",Yes,,"Yes, with A-GPS",,Adreno 405,,"16/32 GB, 2 GB RAM",,,"
Voice 69dB / Noise 66dB / Ring 75dB

","SMS(threaded view), MMS, Email, Push Email, IM",Yes,,Yes,Motorola Moto X Play,"Android 5.1.1 (Lollipop), upgradable to 7.1.1 (Nougat)","
Basemark OS II: 764 / Basemark OS II 2.0: 809Basemark X: 5032",About 240 EUR,"21 MP (f/2.0, 1/2.4"", 1.1 Âµm), phase detection autofocus, dual-LED dual-tone flash, check quality",,,,Corning Gorilla Glass 3,,FM radio,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",,,Nano-SIM,,"5 MP, f/2.2",,,"Accelerometer, proximity","5.5 inches, 82.6 cm2 (~74.4% screen-to-body ratio)","HSPA, LTE",,"Available. Released 2015, August",,GSM / HSPA / LTE,"IPS LCD capacitive touchscreen, 16M colors",microUSB 2.0,"1080p@30fps, check quality","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",169 g (5.96 oz),
2341,GSM 900 / 1800 ,No,,,"Vibration; Downloadable polyphonic, MP3 ringtones","2008, September. Released 2009, March",,,Removable Li-Ion 850 mAh battery,,No,,No,No,,,,No,,Black,110 x 44 x 11.9 mm (4.33 x 1.73 x 0.47 in),,No,,,Class 10,,No,,,,480 KB,,,,SMS,,,,Samsung B210,,,,,,,,,,FM radio,128 x 160 pixels (~116 ppi density),,0.76 W/kg (head)     ,Mini-SIM,,,,,,"1.77 inches, 9.9 cm2 (~20.4% screen-to-body ratio)",,Up to 590 h,Discontinued,Up to 8 h 45 min,GSM,"CSTN, 65K colors",Proprietary,,No,75 g (2.65 oz),
2342,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,HSDPA 2100 - SIM 1 & SIM 2,,"Vibration; MP3, WAV ringtones","2013, October. Released 2013, October",,,Li-Ion 2000 mAh battery,,Yes,,HTML,HTML,,Dual-core 1.2 GHz Cortex-A7,,"microSD, up to 32 GB (dedicated slot)",Mediatek MT6572,White,-,,Yes,,,Class 12,,No,,Mali-400,,"4 GB, 512 MB RAM",,,,"SMS(threaded view), MMS, Email, IM",,,,Celkon AR45,Android 4.2.2 (Jelly Bean),,About 90 EUR,5 MP,,,,,,FM radio,960 x 854 pixels (~286 ppi density),,0.74 W/kg (head)     0.68 W/kg (body)     ,Dual SIM (Mini-SIM),,1.3 MP,,,"Accelerometer, proximity","4.5 inches, 64.9 cm2",HSPA,,Discontinued,,GSM / HSPA,TFT touchscreen,microUSB 2.0,Yes,"Wi-Fi 802.11 b/g/n, hotspot",-,
2343,GSM 850 / 900 / 1800 / 1900 ,Yes,HSDPA 850 / 900 / 1900 / 2100 ,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 12(700), 20(800), 28(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500)","Vibration; MP3, WAV ringtones","2016, April",,,Non-removable Li-Ion 3000 mAh battery,,"4.2, A2DP, aptX",,HTML5,HTML5,,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.2 GHz Cortex-A53),,"microSD, up to 256 GB (dedicated slot)",Qualcomm MSM8976 Snapdragon 652,"Carbon Gray, Topaz Gold, Glacier Silver",145.9 x 71.9 x 9 mm (5.74 x 2.83 x 0.35 in),,Yes,,"Geo-tagging, touch focus, face detection, HDR, panorama",Yes,,"Yes, with A-GPS, GLONASS/ BDS (region dependent)",,Adreno 510,,"32 GB, 3 GB RAM",,,,"SMS(threaded view), MMS, Email, Push Email",Yes,,Yes,HTC 10 Lifestyle,"Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",,About 300 EUR,"12 MP (f/1.8, 26mm, 1/2.3"", 1.55 Âµm), OIS, laser autofocus, dual-LED dual-tone flash",,,,Corning Gorilla Glass 4,,No,"1440 x 2560 pixels, 16:9 ratio (~565 ppi density)",,,Nano-SIM,,"5 MP (f/1.8, 23mm, 1.34 Âµm), OIS, autofocus, 1080p, HDR",,,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","5.2 inches, 74.5 cm2 (~71.1% screen-to-body ratio)","HSPA, LTE-A (2CA) Cat6 300/50 Mbps",Up to 504 h (3G),"Available. Released 2016, June",Up to 21 h (3G),GSM / HSPA / LTE,"Super LCD5 capacitive touchscreen, 16M colors","2.0, Type-C 1.0 reversible connector","2160p@30fps, 1080p@60fps, 720p@120fps, HDR, stereo sound rec.","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",161 g (5.68 oz),
2344,GSM 850 / 900 / 1800 / 1900 ,Yes, HSDPA,,"Vibration; MP3, WAV ringtones","2010, June. Released 2010, July",,,Removable Li-Po 1500 mAh battery,,"3.0, A2DP",,"HTML, Adobe Flash Lite","HTML, Adobe Flash Lite",,1.0 GHz Cortex-A8,,"microSD, up to 32 GB (dedicated slot)",Hummingbird,"Snow White, Black",122.4 x 64.2 x 9.9 mm (4.82 x 2.53 x 0.39 in),,Class 12,,"Geo-tagging, touch focus, face/smile detection",Class 12,,"Yes, with A-GPS",,PowerVR SGX540,,16 GB (14 GB user available),,,,"SMS(threaded view), MMS, Email, Push Email, IM",Yes,,,Samsung M110S Galaxy S,"Android 2.1 (Eclair), upgradable to 2.3 (Gingerbread)",,About 220 EUR,"5 MP, autofocus",,,,,,"Stereo FM radio, RDS","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,0.63 W/kg (head)     ,Mini-SIM,,VGA,,,"Accelerometer, proximity, compass","4.0 inches, 45.5 cm2 (~58.0% screen-to-body ratio)",HSPA 7.2/5.76 Mbps,Up to 590 h (2G) / Up to 490 h (3G),Discontinued,Up to 15 h 30 min (2G) / Up to 7 h 50 min (3G),GSM / HSPA,"Super AMOLED capacitive touchscreen, 16M colors",microUSB 2.0,720p,Wi-Fi 802.11 b/g/n,121 g (4.27 oz),
2345,GSM 850 / 900 / 1800 / 1900 ,No,,,"Vibration; Downloadable polyphonic, MP3 ringtones","2007, February",,,Removable Li-Ion 1200 mAh battery,,2,,"WAP 2.0/xHTML, HTML, RSS feeds","WAP 2.0/xHTML, HTML, RSS feeds",,416MHz Intel XScale ARM 920T PXA27x,,microSD (dedicated slot),,Silver,108.8 x 58 x 13.5 mm (4.28 x 2.28 x 0.53 in),,Yes,,,Class 10,,No,,,,55 MB,,,,"SMS, EMS, MMS, Email, Instant Messaging",,,,Samsung i710,Microsoft Windows Mobile 5.0 for PocketPC,,About 110 EUR,"2 MP, autofocus",,,,,,No,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",0.59 W/kg (head)     0.65 W/kg (body)     ,0.52 W/kg (head)     ,Mini-SIM,,No,,,,"2.8 inches, 24.3 cm2 (~38.5% screen-to-body ratio)",,Up to 250 h,Discontinued,Up to 8 h 30 min,GSM,"TFT resistive touchscreen, 256K colors (65K effective)",1.1,Yes,No,109 g (3.84 oz),
2346,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA 850 / 900 / 1900 / 2100 - Europe,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - Europe","Vibration; MP3, WAV ringtones","2015, December",,,Non-removable Li-Po 2150 mAh battery,,"4.0, A2DP",,HTML5,HTML5,"Front/back glass (Gorilla Glass), aluminum frame",Octa-core (4x1.4 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,"microSD, up to 256 GB",Qualcomm MSM8929 Snapdragon 415,"White, Black",145 x 69.2 x 7 mm (5.71 x 2.72 x 0.28 in),,Yes,,"Geo-tagging, touch focus, face detection, panorama, HDR",Yes,,"Yes, with A-GPS",,Adreno 405,,"16 GB, 2 GB RAM",,,,"SMS(threaded view), MMS, Email, Push Email, IM",Yes,,,alcatel X1,Android 5.1 (Lollipop),,About 250 EUR,"13 MP (f/2.2, 1/3"", 1.12 Âµm), autofocus, dual-LED dual-tone flash",,,,Asahi Dragontrail Glass,,FM radio,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",,"5 MP (f/2.0, 1/4"", 1.4 Âµm), LED flash",,,"Accelerometer, proximity, compass","5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)","HSPA, LTE Cat4 150/50 Mbps",,"Available. Released 2016, June",,GSM / HSPA / LTE,"Super AMOLED capacitive touchscreen, 16M colors","microUSB 2.0, USB On-The-Go",1080p@30fps,"Wi-Fi 802.11 b/g/n, hotspot",140 g (4.94 oz),
2347,GSM 850 / 900 / 1800 / 1900 ,Yes,HSDPA 850 / 1700 / 1900 / 2100 ,,"Vibration; MP3, WAV ringtones","2014, August",,,Removable Li-Ion 2000 mAh battery,,"4.0, A2DP",,HTML,HTML,,Quad-core 1.2 GHz,,"microSD, up to 32 GB (dedicated slot)",,Black,141 x 71.9 x 9.9 mm (5.55 x 2.83 x 0.39 in),,Yes,,"Geo-tagging, touch focus, face/smile detection",Yes,,"Yes, with A-GPS",,,,"4 GB, 1 GB RAM",,,,"SMS(threaded view), MMS, Email, Push Email, IM",Yes,,,alcatel Fierce 2,Android 4.4.2 (KitKat),,About 90 EUR,"5 MP, autofocus, LED flash",,,,,,FM radio,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",,,Micro-SIM,,VGA,,,"Accelerometer, proximity","5.0 inches, 68.9 cm2 (~68.0% screen-to-body ratio)",HSPA,Up to 336 h (3G),"Available. Released 2014, September",Up to 6 h (3G),GSM / HSPA,"Capacitive touchscreen, 16M colors",microUSB 2.0,720p@30fps,"Wi-Fi 802.11 b/g/n, hotspot",149.1 g (5.26 oz),
2348,GSM 900 / 1800 - SIM 1,No,,,"Vibration, Polyphonic","2009, October. Released 2009, October",,,Removable Li-Ion 1300 mAh battery,,Yes,,WAP 2.0 / HTML,WAP 2.0 / HTML,,,,"microSD, up to 2 GB (dedicated slot)",,Black,110 x 47 x 15.2 mm (4.33 x 1.85 x 0.60 in),,No,,,Class 10,,No,,,,,,,,"SMS, MMS",,,,Micromax X260,,,About 30 EUR,Yes,,,,,,Stereo FM radio; built-in antenna,176 x 220 pixels (~128 ppi density),,,Dual SIM (Mini-SIM),,No,,,Accelerometer,"2.2 inches, 15.2 cm2 (~29.5% screen-to-body ratio)",,Up to 480 h,Discontinued,Up to 10 h,GSM,"TFT, 65K colors",Proprietary,Yes,No,75 g (2.65 oz),
