,Unnamed: 0,2G bands,3.5mm jack,3G Speed,3G bands,4G bands,Alert types,Announced,Audio Jack,Audio quality,Battery Capacity,Battery life,Bluetooth Support,Bluetooth Version,Browser,Browser.1,Build,Camera,Dimensions,Display Colors,Display Size,Display Type,EDGE,Expandable Storage,FM Radio,Features,GPRS,GPRS Features,GPS,GPS Support,GPU,Instant Message,Internal,Internal Storage,Internet Connectivity,Loudspeaker,Memory Card Slot Type,Messaging,Multitouch,Music play,NFC,Name,Operating System,Other Display Features,Performance,Price_INR,Primary Camera,Primary Camera Available,Primary Camera Features,Primary Clock Speed,Processor Core,Processor Type,Protection,RAM,Resolution,SAR,SAR EU,SIM Size,SMS,Secondary Camera,Secondary Camera Available,Secondary Camera Features,Sensors,Stand-by,Status,Supported Networks,Talk time,USB,Video,WLAN,Weight,Wi-Fi Version
2338,2338,,,,,,,,,,,,,4,,,,,,,0.86 inch,OLED,,,,,,,,,,,,,,,,,,,,Beneve Smart Watch Blood Pressure Monitor Heart Rate Sensor Samsung Apple Compatible Ultimate Fitness Tracker Band Supports Notification for Facebook Whatsapp Calls and Message Waterproof IP54 App For iPhone iOS and Android Smartphones Beneve Smartwatch,,APP,,"‚¹3,959",,,,,,,,,,,,,,,,,,,,,,,,,45 g,
2339,2339,,,,,,,,,,,,,v3.0,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Micromax Bolt A37B Silver Smartwatch,Android,,,"‚¹2,349",,,,,,,,,,,,,,,,,,,,,,,,,,
2340,2340,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2341,2341,,,,,,,,,,,,,v3.0,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,HealthMax DZ09-71 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Silver Smartwatch,Android Wear,,,"‚¹1,099",2 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2342,2342,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2343,2343,,,,,,,,,,,,,v3.0,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Micromax Bolt A51 Silver Smartwatch,Android,,,"‚¹2,349",,,,,,,,,,,,,,,,,,,,,,,,,,
2344,2344,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 White Smartwatch,"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2345,2345,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2346,2346,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 Black Smartwatch,"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2347,2347,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 Black Smartwatch,"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2348,2348,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 White Smartwatch,"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,2349,,,,,,,,,,,,,v4.0,,,,,,,1.33 inch,IPS LCD,,,,,,,,,,,,,,,,,,,,"OUTSMART with Fitness Tracker, Camera, Sim Card and 32 GB Memory Card Slot smartwatch Nuvo Black Smartwatch",,,,"‚¹1,999",1 MP,,,,,,,,,,,,,,,,,,,,,,,,80 g,
