,Unnamed: 0,3.5mm jack,Battery,Card slot,Clock Speed,GPS Support,GPU,ID,Internal Storage,NFC,Name,OS,Price,Primary Camera,Resolution,SIM,Secondary Camera,Sensors,Weight
170,399,Yes,3000.0,Hybrid Slot,2.7 GHz,,ARM Heimdall MP18,399,64 GB,Yes,"Samsung Galaxy S9 (Lilac Purple, 64 GB)  (4 GB RAM)",Android Oreo 8,,12MP,2960 x 1440 Pixels,Nano SIM,8MP,,163 g
171,447,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,447,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
172,450,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,450,16 GB,,"Samsung Galaxy J7 Nxt (Black, 16 GB)  (2 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
173,454,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,454,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
174,455,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,455,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
175,458,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,458,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
176,465,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,465,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
177,468,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,468,32 GB,,"Samsung Galaxy J7 Nxt (Gold, 32 GB)  (3 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
178,486,Yes,2800.0,,1.3 GHz,,,486,16 GB,,"HTC Desire 728G Dual Sim (GSM + UMTS) (White Luxury, 16 GB)  (1.5 GB RAM)",Android Lollipop 5.0.2,,13MP,1280 x 720 Pixels,Nano SIM,5MP,,153 g
179,494,Yes,2000.0,,,,,494,32 MB,,Celkon C9 Jumbo  (Black & Red),,,1.3MP,240 x 320 Pixels,Full Size SIM,,,
180,497,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,497,32 GB,,"Samsung Galaxy J7 Nxt (Gold, 32 GB)  (3 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
181,498,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,498,64 GB,,"Samsung Galaxy On Nxt (Gold, 64 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 pixels,Nano SIM,8MP,"Accelerometer, Proximity Sensor, Fingerprint Sensor",167 g
182,504,Yes,3000.0,Dedicated Slot,1.4 GHz,Yes,"Adreno 505, 450 MHz",504,64 GB,,"Micromax Canvas Infinity Pro (Black, 64 GB)  (4 GB RAM)",Android Nougat 7,,16MP,1440 x 720 Pixels,Micro SIM and Micro SIM,20MP + 8MP,"Proximity Sensor, Light Sensor, Accelerometer, Gyro, Magnetic Sensor (Compass), Hall IC",
183,548,Yes,2000.0,Dedicated Slot,1.3 GHz,Yes,Mali-400 MP2,548,4 GB,No,"Micromax Unite 2 A106 (Grey, 4 GB)  (1 GB RAM)",Android KitKat 4.4.2,,5MP,800 x 480 Pixels,,2MP,"Accelerometer, Gravity Sensor, Proximity Sensor",
184,550,Yes,3600.0,Dedicated Slot,1.6 GHz,Yes,,550,64 GB,Yes,"Samsung Galaxy J7 Pro (Gold, 64 GB)  (3 GB RAM)",Android Nougat 7.0,,13MP,1920 x 1080 Pixels,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g
185,552,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,552,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
186,556,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,556,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
187,560,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,560,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
188,561,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,561,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
189,563,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,563,32 GB,,"Samsung Galaxy J7 Nxt (Gold, 32 GB)  (3 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
190,568,Yes,3300.0,,1.6 GHz,Yes,,568,16 GB,Yes,"Samsung Galaxy A7 2016 Edition (Gold, 16 GB)  (3 GB RAM)",Android Lollipop 5.1,,13MP,1920 x 1080 Pixels,Nano SIM,5MP,"Accelerometer, Fingerprint Sensor, Geo-magnetic Sensor, Hall Sensor, Proximity Sensor, RGB Light Sensor",169 g
191,570,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,570,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
192,571,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,571,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
193,573,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,573,16 GB,,"Samsung Galaxy J7 Nxt (Black, 16 GB)  (2 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
194,579,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,579,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
195,587,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,587,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
196,607,Yes,3600.0,Dedicated Slot,1.6 GHz,Yes,,607,64 GB,Yes,"Samsung Galaxy J7 Pro (Black, 64 GB)  (3 GB RAM)",Android Nougat 7.0,,13MP,1920 x 1080 Pixels,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g
